Score	UserID	Pseudo	#golf,count=54,time=2020-04-27 02:04:43
73	1483723	d-s-x	
73	1537792	AsaiYusuke	
73	334009	abouvier	
82	2418256	Pobrodilin	
91	1399382	Regulus136	
93	2928146	LolCat	
95	1001096	MyIIone	
95	2228811	MichalKovac	
96	942857	Slupka	
99	973040	papyjo	
111	1760921	[Leonardone]-[-_-]-[NEETSDKASU]	
112	1558666	Craxy	
115	2661589	LePelicanFushia	
117	2288263	dbdr	
118	1740037	ereiam	
121	155774	dwarfie	
127	1654818	tarapitha	
128	1283576		
130	3622757	anid	
132	935759	Jason_Down	
133	2043908	AntiSquid	
135	1695697		
136	1087021	Gluck	
141	717196	NWDD	
143	2448339	Dersei	
145	1630890	Wld	
149	807709	Michaelmore	
165	1629259	Marchete	
168	1566166	OB1	
168	3360445	undeclared_identifier	
180	1677705	nNickSize	
182	1411649	Levatol	
183	1816865	MaximilianAzendorf	
186	1377143	Seyuki	
189	1463763	Alcated	
191	935161	CoderFarmer	
192	2000540	rombolshak	
195	2069141	tomeko	
197	1544005	GrzegorzBlok	
233	869020	M.M.	
234	891648	boechiel	
244	1074858	MietekBrzytwa	
244	1707076	Kallekro	
254	1096717	TeXteR	
277	371603	martin	
292	765200	FrancoisB	
318	1077559	PhOeNyX	
342	1500515	eulerscheZahl	
559	1283820	sqdk	
645	788361	Bob	
655	805067	Magus	
768	1228784	Coding_4_Fun	
883	1271096	Trolg	
1268	154984	_Royale	
