Comp.	Score	UserID	Pseudo	#golf,count=76,time=2021-11-26 00:49:40
100	122	2288263	dbdr	
100	125	1654818	tarapitha	
100	128	154806	piwai	
100	131	828239	[SG]Bisou	
100	136	155774	dwarfie	
100	143	3516345	Jp82	
100	144	3354337	Westicles	
100	145	3869618	tsds	
100	145	1399382	Regulus136	
100	158	153683	40R15T3	
100	159	2202771	Kaplone	
100	164	3931064	wayneosborn	
100	165	4341304	Remi.	
100	166	2713608	LostSymphony	
100	177	2874091	5DN1L	
100	185	3922731	Dartisan	
100	194	3514975	Phurinat	
100	200	1848459	Velcoro	
100	206	4120837	philipplenk	
100	220	288996	ronlobo	
100	234	3305510	TBali	
100	286	4618766	skipfsh	
100	296	4471038	nguyen.lam	
100	320	4184379	romain.wg	
100	342	4213251	FrancisTafe	
100	442	4534872	BlaiseEbuth	
100	520	4223407	Inelokii	
100	670	4374615	Saran_Greenz	
100	803	4502756	ectrema1	
100	895	484004	aCat	
0	0	996606	Indy	
0	0	3968399	dormeur2009	
0	126	3845610	pardouin	
0	146	3917420	trold	
0	148	1740037	ereiam	
0	149	3808031	_proton	
0	161	925695	Boulet	
0	167	1411649	Levatol	
0	168	2786666	TetraktysPhi	
0	168	1179950	Patorikkuyatta	
0	185	2069141	tomeko	
0	189	820000	ValGrowth	
0	201	891648	boechiel	
0	210	1629259	Marchete	
0	211	2781512	JMK	
0	212	1355842	slaghn	
0	218	2290633	field3	
0	219	1692237	Dr_H	
0	219	2230279	TheXeos	
0	220	1201783	qsantos	
0	225	4052564	GooPunch	
0	226	3075636	Dr-D	
0	226	1854639	iDxMeG	
0	228	2396405	luebbe	
0	235	2149803	taichi3a	
0	237	2043908	AntiSquid	
0	247	1428084	Mixolyde	
0	252	3879823	darkvision77	
0	255	735910	Agade	
0	266	3151491	JefaCoder	
0	288	3191466	Emare	
0	298	817627	geot	
0	303	3941789	LastRick	
0	396	3918563	happy-san	
0	412	2063592	Gbaud	
0	444	155835	zenWapazz	
0	455	1077559	PhOeNyX	
0	510	869020	M.M.	
0	515	2001560	chokolakula	
0	593	3946535	akn	
0	701	2912044	phantomesse	
0	765	3312870	OBaidi	
0	823	2613379	OlejnikSeweryn	
0	855	154984	_Royale	
0	898	3988487	R3tep	
0	920	788361	Bob	
