Score	UserID	Pseudo	#golf,count=45,time=2020-09-16 02:56:17
97	2288263	dbdr	
98	1654818	tarapitha	
101	2158902	Snowbart	
111	1893356	Marben	
112	914105	T6nn	
112	3354337	Westicles	
114	1778731	pen	
114	2333316	Ionax	
116	2418256	Pobrodilin	
126	1695697		
127	1740037	ereiam	
132	1737246	Adam798	
137	2043908	AntiSquid	
141	951363	agent[j]	
142	1201783	qsantos	
161	1579653	zweedeend	
169	3172222	TheGreatGeek	
169	3940027	alexlo	
183	155774	dwarfie	
187	735910	Agade	
189	1592894	maxagaze	
196	2094871	SteffMaster	
197	2077458	Ragi	
211	371603	martin	
212	2069141	tomeko	
231	1093968	milosMATRIXrepic	
232	1411735	lordaniel	
232	1629241	DeVan	
233	403748	[CG]SaiksyApo	
245	425462	Azt-yur	
246	869020	M.M.	
249	2085649	Lsmith-Zenoscave	
254	1981732	MJS	
289	1385626	Wabash9000	
330	788361	Bob	
336	1218827	whitewolf	
343	578289	Kludjer	
366	1068877	[CPC]Tamno	
375	1889170	mvujas	
565	940723	PlaceboZA	
674	311823	hettomei	
703	153665	salmuz	
1204	154984	_Royale	
