Comp.	Score	UserID	Pseudo	#golf,count=116,time=2021-07-08 00:35:48
100	90	334009	abouvier	
100	93	1483723	d-s-x	
100	108	1654818	tarapitha	
100	114	1399382	Regulus136	
100	120	1001096	MyIIone	
100	123	1848459	Velcoro	
100	131	709490	Sinlepuissant	
100	145	3354337	Westicles	
100	155	3869618	tsds	
100	160	3697888	DaTa-	
100	175	2178794	Unihedron	
100	178	2415009	Iksf	
100	181	3918583	mikmak	
100	182	2413534	EveningRust	
100	187	2786666	TetraktysPhi	
100	188	1684030	Mator	
100	191	1740037	ereiam	
100	192	4060994	3030	
100	192	4034494	GTaf	
100	198	1323621	Blablub	
100	204	1838549	orangesnowfox	
100	206	1394530	Idleless	
100	207	1179950	Patorikkuyatta	
100	208	1049979	timqsh	
100	208	2230279	TheXeos	
100	209	225875	leff	
100	212	1644100	arcSRL	
100	212	1861258	Nazdhun	
100	214	2837654	R2B2	
100	230	1410353	SwagColoredKitteh	
100	233	2491616	abt8601	
100	234	1436776	BrainSolver	
100	235	1777302	Ithinuel	
100	238	1760921	[Leonardone]-[-_-]-[NEETSDKASU]	
100	241	925695	Boulet	
100	242	842286	KaliZoy	
100	243	155774	dwarfie	
100	243	1425182	Dipucian	
100	244	3964600	Azote94	
100	247	3596407	Armageddon1337	
100	254	817627	geot	
100	255	3325474	Bobbadillio	
100	275	1554782	ExPixel	
100	284	2043908	AntiSquid	
100	284	2172874	Med1ane	
100	291	4210532		
100	294	999596	Schyrsivochter	
100	305	1677637	ABoschman	
100	317	1514899	Wcubed	
100	322	1583805	sebipincha	
100	326	2713608	LostSymphony	
100	332	2546042	Badewanne3	
100	337	1759335	metahom	
100	345	996696	XO-Splicer	
100	346	4272852	minfaox3	
100	348	154806	piwai	
100	350	2069141	tomeko	
100	362	218189	[CG]Maxime	
100	367	1754295	SF	
100	373	2290633	field3	
100	376	1393802	amzh	
100	380	3305510	TBali	
100	392	3922731	Dartisan	
100	394	363429	ATHANOR	
100	406	2371389	Franta	
100	431	2419811	Valbou	
100	442	155008	Majavar	
100	456	4075468	caiomcg	
100	462	3631678	MarwaneBK	
100	473	2538423	jihele	
100	481	2894347	efugier	
100	495	1314476	THeK3nger	
100	502	951974	Kynarth	
100	573	4372577	tannhauser_gate	
100	580	3800501	wescande	
100	593	4081275	0xa	
100	603	2531984	Jimmyz	
100	642	154388	PonyPonyCodeCode	
100	648	3738782	Inaniwa	
100	681	2870113	Reeeeeeeee	
100	705	3808031	_proton	
100	779	2458209	Drakkoniz	
100	789	3615740	atharvadnaik	
100	846	2728490	Friz64	
100	855	1077559	PhOeNyX	
100	859	4328405	BandytBrown	
100	867	4122678	DrFlowerkick	
100	880	484004	aCat	
100	907	1168778		
100	910	1543850	Gaarv	
100	917	2421521	Sobakin	
100	927	2328977	jongwony	
100	930	4155398	Bibobu	
100	1003	3736228	SirLocomotiva	
100	1039	1552740	Gybe	
100	1044	3826515	mustardpudding	
100	1046	4110158	PaperZZ	
100	1052	3799610	SoleilTaciturne	
100	1063	2606893	bie	
100	1080	4274404	SebCod	
100	1130	3842493	nampdn	
100	1140	805067	Magus	
100	1173	4036765	yudrassil	
100	1187	154984	_Royale	
100	1209	869020	M.M.	
100	1288	4106948	dorvo	
100	1374	193776	tatref	
100	1451	875453	Chapel	
93	399	1630890	Wld	
86	1411	811664	Klimatt	
80	739	2432847	YuriMomo	
60	106	2288263	dbdr	
0	119	1629259	Marchete	
0	389	891648	boechiel	
0	493	901546	Vinatorul	
0	920	788361	Bob	
