League	Score	UserID	AgentID	Lang	Pseudo	#multi,count=2697,time=2021-11-25 00:31:52
5	28.93	3348388	3444412	C++	bowwowforeach	
5	28.76	1407621	1659835	C++	Taohbi	
5	28.06	1327028	694780	C++	FredericBautista	
5	27.2	886483	1732181	ObjectiveC	R4N4R4M4	
5	26.39	805067	614796	Java	Magus	
5	26.01	1629259	2238245	C#	Marchete	
5	25.94	1447873	614798	Java	Hohol	
5	25.45	935802	764261	Java	Jerhyn	
5	25.42	1425201	1268523	Java	JamesPun	
5	25.3	2043908	1773010	Java	AntiSquid	
5	25.15	1181685	759510	Lua	dzik	
5	24.76	1438020	3335955	C++	InsomniaRide	
5	24.73	1071140	614825	C#	BeberLeNewbie	
5	24.72	893541	3401639	Java	wala	
5	24.56	1442110	1126354	Java	Wolny	
5	24.29	3973359	3495490	Java	KAbel	
5	24.23	1188212	614794	C	superredlark	
5	24.21	1059313	3434045	C++	_SERGE_	
5	24.2	739151	614817	C++	Romka	
5	24.18	2731276	2068390	C++	panda42	
5	24.17	1413236	614824	Go	Medici	
5	23.94	1304841	619005	Java	NitMpez	
5	23.91	1855741	2177562	Java	MrKIP	
5	23.89	2114863	1420328	Java	QWERTy	
5	23.86	154984	645824	C++	_Royale	
5	23.85	882095	1122761	C++	Useless	
5	23.7	1487392	688385	Java	Razielwar	
5	23.57	735910	614826	C++	Agade	
5	23.55	1433073	1480946	Python3	DWreck	
5	23.54	4298048	3869720	Java	RealCoderBrookes	
5	23.51	2386035	2144614	Java	Samsonov	
5	23.49	3167968	3487543	Python3	Master_Zain	
5	23.46	837350	1609529	Ruby	BorisZ	
5	23.41	1066860	614813	C#	suikkee	
5	23.39	1333869	614806	Python3	kiwijam	
5	23.32	1347751	614804	Java	FunFR	
5	23.2	2006324	1732795	Python3	SihardeOussama	
5	23.16	1077559	2455715	Java	PhOeNyX	
5	23.15	1470927	3799993	Python3	ClementAvenel	
5	23.1	3740142	3400187	Python3	Bedstorm	
5	23.1	1500515	1411901	C#	eulerscheZahl	
5	23.09	1354295	3374219	Python3	AbdullahKhawer	
5	23.03	416762	614810	Javascript	Khao	
5	22.91	507383	617719	C#	Vadasz	
5	22.89	1197161	614830	C#	olsh	
5	22.86	2906497	2503309	C++	daaskare	
5	22.61	1034635	614808	C++	SlyB	
5	22.51	4070745	3849493	Java	HoriMiyamura	
5	22.51	1258533	614809	Python3	MathJason	
5	22.45	3774856	2995301	Python3	_O-MEGA	
5	22.44	4334077	3711231	Python3	Paul_Demanze	
5	22.41	2762653	2305792	Python3	RAAAT	
5	22.4	3657937	3447348	Python3	elderlybeginner	
5	22.39	1450989	614818	Java	CowZow	
5	22.36	4058746	3376513	Python3	zekabyle	
5	22.36	2332450	1624054	Python3	~Taisa	
5	22.35	1179950	3664383	Python3	Patorikkuyatta	
5	22.16	3012081	2141186	Python3	[HUASUM]Bap	
5	22.14	1437820	614815	Python3	Deadbool	
5	21.89	1167615	714386	C#	TylerDurden	
