League	Score	UserID	AgentID	Lang	Pseudo	#multi,count=102,time=2020-04-23 00:41:46
0	42.28	2522090	2625816	C++	MSmits	
0	40.46	2924895	2625983	C	trictrac	
0	39.42	1480501	2628829	C++	DaFish	
0	39.05	3136787	2628867	C++	jacek	
0	38.64	2923506	2477354	C++	darkhorse64	
0	38.1	832306	2435152	Python3	pb4	
0	37.19	1479930	2466216	C++	LeRenard	
0	36.22	1905177	2496763	C#	agysejt	
0	35.63	1489865	2317409	C++	EricSMSO	
0	35.63	1607522	2627435	C++	RoboStac	
0	31.47	3457031	2700683	C++	YurkovAS	
0	30.84	3203557	2313184	C++	burnpanck	
0	30.56	1203167	2345570	Python3	r3versi	
0	29.56	2288263	2613213	Rust	dbdr	
0	29.56	424510	2335911	Kotlin	csj	
0	28.67	1436776	2470425	C++	BrainSolver	
0	28.55	3502867	2576139	C++	The_Duck	
0	26.53	3417724	2507777	C#	Illya	
0	24.67	1584802	2335804	C++	emh	
0	24.47	886483	2332778	ObjectiveC	R4N4R4M4	
0	24.08	1344487	2676483	Java	UnnamedCodinGamer	
0	24.01	2058158	2479160	C#	RolandKnight	
0	24	3329534	2406499	C#	misi-me2play	
0	23.44	3589558	2822808	C++	luhuluhu	
0	23.32	2906497	2323889	C++	daaskare	
0	23.18	1673512	2327328	C++	Ryoken	
0	22.55	1498442	2309295	Javascript	NSzx	
0	22.36	2944122	2673728	C++	JackieChun	
0	21.82	311035	2610930	Python3	leojean890	
0	21.82	1378958	2429985	C#	Illedan	
0	21.68	1523279	2826288	C++	morttar	
0	21.61	735910	2434059	C++	Agade	
0	21.37	1029602	2629608	C	Potemkine	
0	21.26	2728732	2313957	Python3	Kroppeb	
0	21.16	2290633	2314784	Python3	field3	
0	21.05	2438065	2606177	Python3	Wiljam	
0	20.84	2972662	2378864	C++	Hoyer	
0	20.67	1412263	2314441	PHP	PatrickMcGinnisII	
0	20.64	3080189	2308569	Python3	Multiplicity	
0	20.47	1457162	2335250	C++	JFB	
0	20.27	3397746	2461833	Python3	MinFlex	
0	20.1	314562	2328648	Javascript	Mechar	
0	20.02	1854246	2437452	C++	Counterbalance	
0	19.97	3730459	2727690	C++	djcian	
0	19.08	1464932	2310712	Java	Tiramon	
0	19.01	2655682	2606331	Java	CoderFromOuterSpace	
0	18.64	3564009	2673536	Lua	Waffle3z	
0	18.02	792813	2314517	Python3	VilBoub	
0	17.18	1740037	2679443	Scala	ereiam	
0	16.87	1658934	2588634	Python3	BeesKnees	
0	16.7	3428055	2461442	Python3	wuhudieeule	
0	15.98	1661563	2706303	C#	Eurospiders	
0	15.29	2416641	2604702	Java	Zenoscave	
0	15.28	2042572	2688906	Python3	i_am_noob_abc	
0	15.26	3214641	2807052	Java	Neicul	
0	15.13	1194069	2423558	Java	Redstrike	
0	15.01	3376849	2417218	Python3	Horrip	
0	14.6	1288527	2313714	C++	Snef	
0	14.42	1728288	2347024	C#	MOLP	
0	14.31	2069141	2307830	C#	tomeko	
0	14.27	1713174	2314244	Python3	BigUP	
0	14.11	1861258	2317608	Go	Nazdhun	
0	14.08	1411952	2497274	PHP	gragatrim	
0	13.99	820000	2308385	C++	ValGrowth	
0	13.88	2202771	2310236	Java	Kaplone	
0	13.76	2663673	2513241	Python3	Amnonian	
0	13.63	1382430	2447464	C	Takenoko	
0	13.63	1418821	2416958	C++	input.txt	
0	13.45	1492221	2577759	Javascript	Spalmon	
0	13.17	1029745	2490393	Python3		
0	11.67	664112	2676331	Python3	AllYourTorpedos	
0	11.66	1495113	2410244	C#	Wiso86	
0	10.81	371603	2314091	Ruby	martin	
0	10.63	215395	2442092	Python3	Enknable	
0	10.63	1760921	2308643	Go	[Leonardone]-[-_-]-[NEETSDKASU]	
0	10.48	2043908	2308618	Python3	AntiSquid	
0	10.47	3523240	2549618	Python3	Inflein	
0	10.44	1876212	2498129	Python3	PFischbeck	
0	10.43	3217628	2308344	Java		
0	10.43	2572485	2437059	Ruby	DGynn	
0	10.4	862919	2706637	C++	Astrobytes	
0	10.21	973040	2461640	C	papyjo	
0	10.13	1829569	2464722	Python3	[0___0]	
0	10.11	3622757	2724929	Java	anid	
0	8.64	2636370	2344257	C++	SupSon	
0	7.72	389632	2410121	Python	ma	
0	6.68	1629259	2319321	C++	Marchete	
0	5.94	1481544	2325231	C++	ZarthaxX	
0	5.4	2368787	2319392	C++		
0	4.3	523846	2828232	C#	Palmipedus	
0	2.95	631323	2486490	Python3	herve056	
0	2.92	2997376	2687150	C++	TWW	
0	2.18	3010398	2668560	C#	tbitowt	
0	2.1	2897325	2579605	Python3	CAEZAR	
0	1.35	1838289	2468151	C++	Dagal	
0	0.2	2410235	2312713	Python3	Joe_Black	
0	0.16	999637	2503003	Python3	dinobogan	
0	0.16	493800	2668558	C++	OnionMasta	
0	-0.16	2241559	2345582	Python3	eskeln	
0	-4.5	1060181	2308304	Ruby	Dabou	
0	-8.34	2006348	2380779	Python3	Koji02	
0	-11.77	1040176	2588222	Python3	BoBot	
