League	Score	UserID	AgentID	Lang	Pseudo	#multi,count=1767,time=2019-11-20 00:49:52
5	27.35	735910	1935827	C++	Agade	
5	25.45	1500515	2113625	C#	eulerscheZahl	
5	25.13	1861852	1665371	Javascript	Cramer	
5	25.1	1341520	1665363	Java	egaetan	
5	24.94	2905179	2114066	Java	Jimgoo	
5	24.81	1961440	1670418	C++	simon_v	
5	24.73	820000	1665375	C++	ValGrowth	
5	24.52	805067	1665368	C++	Magus	
5	24.48	1629259	2486026	Dart	Marchete	
5	24.48	1714338	2116651	C++	cobase2010	
5	24.48	1487392	1665360	Java	Razielwar	
5	24.45	2904994	2115806	Java	LuXu	
5	24.34	1962401	1667842	C#	Mackhdo	
5	24.31	1307473	2474801	C++	Evgenykz	
5	24.27	430068	1665377	Java	Magiczvn	
5	24.25	2114947	2266973	Java	Nixerrr	
5	24.14	1607522	2098037	Go	RoboStac	
5	24.13	351062	2193221	C++	Neumann	
5	24.1	712143	2322789	C++	phamnuwen	
5	24.06	1167615	1686842	C#	TylerDurden	
5	24.02	1128769	2061234	Rust	Dwakus	
5	23.93	1061242	2257281	Go	Csipcsirip	
5	23.88	1853956	1665431	PHP	Nkoyan	
5	23.81	1806741	1665367	C#	TheDayIsMyEnemy	
5	23.8	2291436	1666348	Python3	InCES	
5	23.75	1368122	1665432	Go	galthaus	
5	23.67	1314316	2452543	Python3	jolindien	
5	23.42	754792	2114577	C++	Ramdeath	
5	23.38	1479930	2489941	C++	LeRenard	
5	23.27	154984	2058343	C++	_Royale	
5	23.22	1489865	1665369	Python	EricSMSO	
5	23.22	1676711	1756774	Scala	Eeeval	
5	23.2	2909732	2266774	Java	skill.wang	
5	23.05	1193679	2058344	Python3	Icebox	
5	23.01	1400179	1665433	C++	reCurse	
5	22.95	1802287	1686981	Python3	MaxAlive	
5	22.85	1347650	1673172	C#	T-Dup	
5	22.8	892436	1665589	C++	Napak	
5	22.78	1783604	1669775	C	Vry	
5	22.77	868896	2415909	C++	Arn	
5	22.7	1583206	1668994	C++	simspok	
5	22.66	1314796	1673013	C#	JBence	
5	22.64	3411072	2453628	Kotlin	summer000	
5	22.63	788361	1665967	C++	Bob	
5	22.5	329200	1679776	PHP	BlitzProg	
5	22.5	1671658	2107098	C++	Kirbiby	
5	22.42	154354	1665429	OCaml	Fougere	
5	22.33	1333347	1665591	C++	Sitiel	
5	22.32	1719632	2453234	C++	k.v	
5	22.24	1824376	1665362	Python	Kodle	
5	22.17	1818159	1670449	C#	JRFerguson	
5	22.16	1125295	1665592	C#	Corleon	
5	22.13	1229845	1699334	Java	Jipe	
5	22.13	1903031	2099941	C++	hard-coded	
5	22.11	1707060	1675367	Javascript	FreemanLambda	
5	22.11	1077559	2452523	Java	PhOeNyX	
5	22.11	857521	1669712	C#	MrAnderson	
5	22.1	1526602	2114495	Java	iMichael	
5	22.08	2905092	2453233	Java	liu.chao	
5	22.02	1705176	1675368	Python3	Jabba_Hatt	
