League	Score	UserID	AgentID	Lang	Pseudo	#multi,count=2483,time=2021-03-19 02:52:17
5	31.73	1314316	2833593	C++	jolindien	
5	31.59	2311105	2828481	C++	kovi	
5	31.54	820000	2825086	C++	ValGrowth	
5	31.47	832306	2826134	C++	pb4	
5	29.89	1082988	2829861	C++	Saelyos	
5	29.59	3513922	2824941	C++	Skril	
5	29.47	1321710	2844702	C++	Swagboy	
5	29.38	2288263	2824194	Rust	dbdr	
5	29.18	893541	2825002	Java	wala	
5	29.11	580424	2833226	C++	siman	
5	28.25	2906497	2824928	C++	daaskare	
5	28.19	1537951	2825586	Java	Nerchio	
5	28.15	2741162	2826948	Kotlin	YannT	
5	28.04	826372	2848542	Java	skyyker	
5	27.92	1378958	2824829	C#	Illedan	
5	27.82	2970414	2830713	Python3	Fangel	
5	27.8	1944726	2836514	C++	bourgeof	
5	27.58	1607034	2829693	Rust	tomatoes	
5	27.43	2577687	2825009	C++	blasterpoard	
5	27.34	154984	2825115	C++	_Royale	
5	26.8	1335230	2825094	C++	jft63	
5	26.7	3533119	2848051	Python3	wlesavo	
5	26.06	1635357	2824004	Python3	GiB	
5	25.96	154312	2825622	C++	ThomasNicoullaud	
5	25.94	1998194	2825038	C++	nus_miz	
5	25.83	1034635	2824228	C++	SlyB	
5	25.82	2522090	2824758	C++	MSmits	
5	25.76	1489865	2824778	C++	EricSMSO	
5	25.58	837350	2825674	Python3	BorisZ	
5	25.25	1061242	2824288	C++	Csipcsirip	
5	24.94	3621136	2823942	Python3	MichaelPu	
5	24.87	1718709	2823380	Go	orbital17	
5	24.86	155881	2825611	PHP	Hevey	
5	24.85	371603	2825184	C++	martin	
5	24.57	351062	2833484	C++	Neumann	
5	24.25	735487	2829109	C++	amurushkin	
5	24.24	2566623	2824223	C++	VincentBab	
5	24.03	880353	2825135	C++	zasmu	
5	23.96	567404	2824931	C++	sash	
5	23.89	186179	2823777	C++	Nagrarok	
5	23.77	2924895	2826921	C	trictrac	
5	23.71	1186250	3067246	Python3	Gabbek	
5	23.61	3120506	2826370	C++	banduga	
5	23.54	1500515	2985521	C#	eulerscheZahl	
5	23.53	1487392	2824909	Java	Razielwar	
5	23.47	1757536	2824914	C++	BlueGhost31	
5	23.43	3751175	2823850	C++	DamianS	
5	23.1	443750	2824486	C++	mlomb	
5	23.08	1607522	2824238	C++	RoboStac	
5	22.93	1631358	2825259	Rust	joelthelion	
5	22.74	2923506	2823482	C++	darkhorse64	
5	22.62	2571540	2827865	C++	Nagatwin	
5	22.48	1114834	2824184	Java	k4ng0u	
5	22.03	648751	2825161	Haskell	dabino	
5	21.92	1741196	2824713	C++	Valdemar	
5	21.51	154388	2825150	Rust	PonyPonyCodeCode	
5	21.27	1481544	2825530	C++	ZarthaxX	
5	21.22	854952	2825833	C++	dolmen1234	
5	21.06	1759335	2846389	C#	metahom	
5	20.89	3706812	2825677	C++	ameler	
5	20.73	2416641	2831201	C#	Zenoscave	
5	20.48	335954	2824446	Java	nmahoude	
5	20.43	925695	2899015	OCaml	Boulet	
5	20.35	155896	2830990	PHP	gamoul	
5	19.97	3744791	2823504	C++	Zhmyh	
5	18.56	1366661	2823323	Java	YoBo	
5	18.31	524638	3062681	C++	miklla	
4	28.5	1869024	2834348	Java	Xa2017	
