League	Score	UserID	AgentID	Lang	Pseudo	#multi,count=4219,time=2022-06-28 00:30:27
6	31.51	1049935	3941001	C++	Azkellas	
6	30.25	1607522	1886979	C++	RoboStac	
6	29.07	735910	1886983	C++	Agade	
6	28.22	736075	2502754	C++	Xyze	
6	27.84	3862476	3048449	C++	Toster256	
6	27.73	1479930	2653880	C++	LeRenard	
6	27.04	1818159	1886984	C++	JRFerguson	
6	26.99	1772240	2140156	C++	Wazabis	
6	25.81	3973359	3671939	Java	KAbel	
6	25.36	341112	2056255	Java	Sladix	
6	25.32	154984	2633718	C++	_Royale	
6	25.23	3821853	3810126	Java	Trice	
6	25.01	3775369	2889159	Java	umesh007	
6	24.89	3076654	3038687	Python3	bonebone	
6	24.85	1106450	1886977	C++	RiSuS	
6	24.64	1629259	2238437	C++	Marchete	
6	24.45	4070745	3812047	Java	HoriMiyamura	
6	24.44	1606614	2138812	C++	Wazaa	
6	24.39	1952778	3701001	C++	blast_beat	
6	24.32	3076711	3168352	Java	Sceurpien	
6	24.21	3363565	2663828	Java	BloodRayne	
6	23.95	4168438	3412168	Java	Aoeuid	
6	23.88	3649510	3125553	Java	TheMaskie	
6	23.48	359096	3168353	Java	Skyloro	
6	23.32	2924895	3888535	Java	trictrac	
6	23.32	1372349	1886988	Java	NinjaDoggy	
6	23.2	2522090	1886986	C#	MSmits	
6	23.06	4148846	4156606	Java	SkyWhait	
6	23.04	3689286	2692185	Java	CedricML	
6	22.99	1845617	3740747	Kotlin	Shingy	
6	22.2	3368067	3982321	Java	jgall	
6	21.31	1489865	1886981	C++	EricSMSO	
6	20.93	1480501	1942292	Java	DaFish	
6	20.76	893541	2713397	Java	wala	
6	20.74	3533119	4027387	C++	wlesavo	
6	20.69	754792	3676699	C++	Ramdeath	
6	20.2	154312	2613151	Java	ThomasNicoullaud	
6	20.16	1890185	3676700	C++	num	
6	19.84	1127783	3048280	Python3	zouzou	
6	19.82	1757536	4248826	Python3	BlueGhost31	
6	19.79	1500515	1886985	C#	eulerscheZahl	
6	19.3	2998967	3701524	TypeScript	Gilde	
6	18.94	1059313	3070584	C++	_SERGE_	
6	18.71	1341520	2631823	Java	egaetan	
6	18.3	2263101	2633677	C#	Rewolf	
6	18.23	1902840	2633678	C	mechatronick	
6	18.06	2647140	3048279	Ruby	nisizawa	
6	17.75	1673512	1886976	C++	Ryoken	
6	17.63	820000	2633647	C++	ValGrowth	
6	16.81	1816783	4027255	C#	NightLuna	
6	14.88	4395858	3790079	C#	SaidAouani	
6	14.53	1487392	1887290	Kotlin	Razielwar	
6	13.96	1869024	2237998	Java	Xa2017	
6	12.64	2695697	3841051	Java	bobrkiller333	
6	7.14	4023121	3664084	Java	Zanoshky	
5	27.2	2786666	3075464	C++	TetraktysPhi	
5	26.73	1304841	1940834	Java	NitMpez	
5	26.68	351062	2049267	C++	Neumann	
5	25.95	3468458	2674366	C#	Temba	
5	24.4	912633	1933842	C#	Poviliukas	
5	24.34	3922325	3070692	C++	Degalat	
5	24.22	3427526	2480843	Python3	remi2257	
5	24.17	3594888	2654562	Python3	neymar_	
5	23.75	2913725	2654898	Python3	SherlockTD	
5	23.63	2173864	2653899	Python3	Chimera	
5	23.52	3718653	3008260	Javascript	invi2k	
5	23.4	153683	1876827	Java	40R15T3	
5	23.3	4589241	4169316	Python3	Setra022	
5	23.06	1792429	1876803	Java	Wildum	
5	22.83	1983336	1932837	C++	Tiutens	
5	22.74	1945936	1876846	Python	Spacerouquin	
5	22.73	1347650	1876848	C++	T-Dup	
5	22.65	805067	1876810	C++	Magus	
5	22.59	2179805	2654560	Python3	_La_Pulga	
5	22.52	2906497	3064890	C++	daaskare	
5	22.48	3808031	3027616	Java	_proton	
5	22.38	1193679	2265685	Python3	Icebox	
5	22.35	1407621	1934990	C++	Taohbi	
5	22.33	1853956	1876851	PHP	yoannk	
5	22.33	568476	1876872	Java	Dje54	
5	22.26	4760179	4030003	Java	PACO_SponQy	
5	22.2	2946738	2654561	Python3	The_winter_soldier	
5	22.17	928567	4310359	C++	Konstanta	
5	22.05	153030	2455520	C++	joH	
5	21.98	1238934	1876843	C++	accorp	
5	21.98	2512601	2017767	Python3	Sibwara	
5	21.97	841085	1876840	C#	Risen	
5	21.96	1931039	1887149	C#	MooMooN	
5	21.9	2450542	2341537	C++	MindController	
5	21.84	1836058	2150566	Javascript	SeebOmega	
5	21.8	3239151	2330054	C#	Tanorion	
5	21.78	1841269	3173565	PHP	Ser-Fazer	
5	21.74	2288263	2068013	Java	dbdr	
5	21.72	4154326	3428522	Go	montplusa	
5	21.72	3964625	3107259	Python3	hypocrite	
5	21.71	1724778	1945240	C#	nevpont	
5	21.66	2571540	4079249	Java	Nagatwin	
5	21.63	1756952	1881854	C++	Petras	
5	21.58	3740498	3006102	TypeScript	TODO_Slytherin	
5	21.36	3533314	3915560	C#	skotz	
5	21.18	1855741	1942946	Kotlin	MrKIP	
5	21.14	4760114	4031012	Java	PACO_Eremith	
5	21.08	2427608	4030536	Java	PACO_Adel-Le-bogoss-du-59	
5	21.05	4764217	4034788	Java	PACO_IFleeXyZz	
5	20.93	2434893	1888608	Clojure	cdurbin	
5	20.9	3072951	2204758	Python3	Riddiel	
5	20.75	1676711	1876813	Java	Eeeval	
5	20.74	3196818	2617902	C++	tomreddle	
5	20.62	3455804	3892313	Javascript	D0SD3	
5	20.43	380805	4075275	TypeScript	Xtendz	
5	20.35	938714	1876834	C++	Kristijonas	
5	20.25	869239	1907730	C++	Vingte	
