League	Score	UserID	AgentID	Lang	Pseudo	#multi,count=1440,time=2021-11-16 00:30:13
6	30.61	2577687	2058383	C++	blasterpoard	
6	30.15	735910	2058382	C++	Agade	
6	29.33	1500515	2058386	C#	eulerscheZahl	
6	29.26	854952	2194238	C++	dolmen1234	
6	28.8	1378958	3103936	C#	Illedan	
6	28.45	2043908	3105113	C#	AntiSquid	
6	28.38	524638	2058379	C++	miklla	
6	28.2	2522090	3096083	C#	MSmits	
6	27.98	1629259	3749075	C++	Marchete	
6	27.63	4395858	3783170	C#	SaidAouani	
6	27.26	154984	2058378	C++	_Royale	
6	27.24	1314316	2080197	C++	jolindien	
6	26.76	1106450	2058381	C++	RiSuS	
6	26.58	1824376	2058984	Python3	Kodle	
6	26.49	2676203	2058879	C#	KonamiCode	
6	26.4	1341520	2058375	C	egaetan	
6	26.39	893541	3104223	Java	wala	
6	26.36	4334077	3733790	C#	Paul_Demanze	
6	26.03	1333727	2058377	C++	mai	
6	25.98	586565	2058523	C#	Dedoo	
6	25.6	1671658	2071328	C++	Kirbiby	
6	25.28	815488	2068922	Java	Seti	
6	24.94	416762	2058988	Javascript	Khao	
6	24.92	754792	3106277	C++	Ramdeath	
6	24.88	1869024	2237946	Java	Xa2017	
6	24.86	1034635	2058982	C++	SlyB	
6	24.64	1607522	2058981	C++	RoboStac	
6	24.18	1333869	2091764	Python3	kiwijam	
6	24.1	295729	2457346	C++	webalorn	
6	24.04	805067	2103005	C++	Magus	
6	24	1487392	2100775	Java	Razielwar	
6	24	1757792	2091612	Java	oreshnik	
6	23.97	1756952	2058522	C++	Petras	
6	23.76	841085	2060579	C#	Risen	
6	23.57	886483	2662563	ObjectiveC	R4N4R4M4	
6	23.22	2455573	2662728	C++	LSMUG_test	
6	23.22	2968035	3102345	C++	DomiKo	
6	23.12	820000	2105163	C++	ValGrowth	
6	23.03	1194069	2457317	Java	Redstrike	
6	22.87	2288263	3092696	Java	dbdr	
6	22.71	1022925	2091613	C++	Adrien.	
6	22.12	1407720	3101620	Python3	bananaMixer	
6	22.11	1802967	3108248	Python3	Meruem	
6	19.12	928567	2103023	C++	Konstanta	
6	17.15	2924895	3527133	C++	trictrac	
6	14.53	1741196	2058525	C++	Valdemar	
6	3.17	1664044	2094876	C#	BUG	
6	3.17	2073179	2058380	C#	Biwere	
6	3.17	3622757	2739106	C#	anid	
6	3.15	2006324	2058384	C#	SihardeOussama	
5	29	2351282	2052053	C++	TrebledJ	
5	28.82	1632368	3318060	C++	olphe	
5	28.15	335954	2058921	Java	nmahoude	
5	27.77	977290	3841232	Python3	Darklighter	
5	27.26	523185	3126198	Java	Hjax	
5	27.18	1271096	2151006	C#	Trolg	
5	27.12	1944142	2117661	Python3	yakalir	
5	26.76	1353669	2052091	Python3	XAnimaX	
5	26.73	2662709	2060533	Python3	dead_man	
5	26.53	1109979	2603396	Python3	Gloopy	
5	26.34	992329	2052059	C++	BeeGee	
5	26.11	1829568	2051997	C++	KimOlegan	
5	26.08	155881	2790615	PHP	Hevey	
5	25.86	2684388	3664151	C++	he_____he	
5	25.82	1853956	2051985	PHP	yoannk	
5	25.51	1754295	2052063	Java	SF	
5	25.5	1330431	2052058	Javascript	TzeKin	
5	25.4	198916	2052092	Java	WhatTrickeryIsThis	
5	25.22	2311105	3101248	C++	kovi	
5	25.18	1757536	3163497	Python3	BlueGhost31	
5	25.13	828239	2052015	C#	[SG]Bisou	
5	25.09	1816783	2052012	C#	NightLuna	
5	24.96	2590474	2059650	Python3	LMaximus	
5	24.82	1481544	2052081	C++	ZarthaxX	
5	24.81	1304841	2052013	Java	NitMpez	
5	24.74	1480501	2415224	C++	DaFish	
5	24.62	1335230	2062984	Java	jft63	
5	24.27	1480384	2052071	C++	RockyMullet	
5	24.26	1173137	2052055	C++	chouetz	
5	24.14	2489304	2055347	Kotlin	Yawp	
5	24.12	1464932	2058857	Java	Tiramon	
5	24.11	1498163	2052082	Java	Ben-oit	
5	24.04	2373953	3101268	TypeScript	Dridriun	
5	24.04	1814485	2052061	C#	Fluttershy	
5	24.03	735487	3092978	C++	amurushkin	
5	23.96	1060181	2051998	Ruby	Dabou	
5	23.9	1724778	2052038	C#	nevpont	
5	23.88	1864870	2052021	C++	SiR_Jonny	
5	23.8	2575431	2052084	Python3	Kyubi	
5	23.76	1479930	3098835	C++	LeRenard	
5	23.75	2613730	2052083	C#	ElToby	
5	23.55	1416686	2052868	C#	Avatar256	
5	23.54	1223140	2052035	Kotlin	kgautron	
5	23.53	837350	2052074	Go	BorisZ	
5	23.37	1944726	3094237	C++	bourgeof	
5	23.35	3235897	2741596	Java	Zylo	
5	23.35	2470677	2059316	C++	Goujon	
5	23.33	833250	2052048	C#	TechName	
5	23.27	1477355	3093094	C++	Ysoft	
5	23.27	1167615	2052064	C#	TylerDurden	
5	23.13	2671862	2064186	C#	Daramant	
5	23.11	1537951	3100791	Java	Nerchio	
5	22.89	1894833	2052043	Python3	Rimailleur	
5	22.89	1673512	2052097	C++	Ryoken	
5	22.86	153683	2052052	Java	40R15T3	
5	22.86	490588	2051984	Python3	Uljahn	
5	22.85	311035	3107219	Python3	leojean890	
5	22.83	2155687	2051995	Kotlin	NilsTheWizzard	
5	22.79	2683085	2051990	C#	estoev	
5	22.6	3319855	2502943	C#	Drobor	
5	22.58	1831684	2051987	Java	dbf	
5	22.57	2590149	2052073	Python3	GoofyGas	
5	22.56	2631926	2052042	C++	beekeeperkeeper	
5	22.52	937878	2304401	C++	nyashiki	
5	22.51	2641712	3026303	C	Scarlatine	
5	22.47	1631358	2052543	Haskell	joelthelion	
5	22.47	1059313	2060699	C++	_SERGE_	
5	22.39	2669810	2052068	C#	Anto_Gl	
5	22.35	1759839	2052860	Python3	matleg	
5	22.35	2386035	3101280	Python3	Samsonov	
5	22.32	2233676	2140426	Python3	cleanrock	
5	22.21	1854246	2058554	C++	Counterbalance	
5	22.1	1049935	2052016	C++	Azkellas	
5	22.05	1566335	2982797	Python3	BeardedWhale	
5	22.05	2458742	2062680	Javascript	True_Mithrandir	
5	22.04	1572888	2052865	Python3	DirtyHarry	
5	21.99	4447108	3780321	C#	MonkeyFeathers	
5	21.97	1077559	3343080	Java	PhOeNyX	
5	21.92	4524755	3851225	Python3	facanferff7	
5	21.85	256955	3099796	C++	cup_of_tea	
5	21.64	1399382	2052143	C#	Regulus136	
5	21.63	1489865	2052032	C++	EricSMSO	
5	21.59	2064511	3169174	Java	Semenyutenko_Andrey	
5	21.56	862919	2704289	C++	Astrobytes	
5	21.53	1093968	3129732	C++	milosMATRIXrepic	
5	21.53	1487168	2052072	Bash	FatIvan	
5	21.52	2578232	2352520	Java	Althias	
5	21.44	2453008	3101914	Python3	Crypticsy	
5	21.39	3141948	3073365	Python3	philRG	
5	21.39	1747292	2242754	Swift	CodeReaper	
5	21.32	2451652	2083710	Java	code_of_the_dead	
5	21.31	156188	2052008	PHP	DorianWilde	
5	21.26	1457162	2052861	C++	JFB	
5	21.25	788361	2052511	C++	Bob	
5	21.24	512097	2052037	Haskell	Stilgart	
5	21.22	2463909	2051994	Java	ckobayashi	
5	21.2	3842838	3099401	TypeScript	Streusel	
5	21.17	1904813	2068707	Java	Myldero	
5	21.17	4343255	3687313	C++	ankurpauldev	
5	21.17	2762653	2349206	Go	RAAAT	
5	21.15	2406605	3096599	Python3	docri	
5	21.14	1443538	2052093	Java	Gevater_Tod4711	
5	21.1	4008340	3469243	Go	Shawnny	
5	21.04	2068632	3777146	Go	PedroMMPereira	
5	21.04	1731211	3095847	Python3	fala	
5	21.03	3574688	2616912	Go	RaulButuc	
5	21.02	3226448	3696913	Kotlin	tobk	
5	20.98	1792532	2425458	C#	Zanbez	
5	20.97	1455753	2052070	C++	Lysk	
5	20.96	4352366	3745133	C++	hoanghien99qn	
5	20.95	1605259	2052760	C#	Askeladd	
5	20.95	1862482	2051996	C#	Arebs	
5	20.94	3408865	3582297	C++	redimer	
5	20.94	4313857	3578721	Python3	Magestik	
5	20.92	1830625	3831924	C#	-Rutger-	
5	20.92	2572485	2052859	Ruby	DGynn	
5	20.91	3925061	3107688	Python3	TwT	
5	20.88	4018953	3156604	C++	zTTK	
5	20.84	2671011	2054686	Haskell	p9gehka	
5	20.79	1438953	2677347	C++	aljen	
5	20.75	2090434	3109795	Java	natrian	
5	20.73	3971159	3101715	Python3	ErebosTheos	
5	20.73	2447012	2214786	Go	CodeOtaku	
5	20.66	232528	3100470	C++	cegprakash	
5	20.62	1756760	2349205	Go	Routable	
5	20.54	1616071	2091425	Java	Cyberpunk	
5	20.44	321003	3094034	Python3	mixam85	
5	20.4	1390789	2486812	C++	Matthieu.L	
5	20.32	4089191	3508820	Go	Bixie	
5	20.29	2874091	3886990	Python3	5DN1L	
5	20.22	2555611	2987966	Go	SpiderSas	
5	20.2	1836058	2052056	Javascript	SeebOmega	
5	20.07	2093395	2108180	Go	VadimKuznetsov	
5	19.97	1309948	3780265	C++	Runner87	
5	19.96	3144403	2349084	C++	hugoLaugier	
5	19.83	2102562	2052014	Python3	lyan	
5	19.79	3150053	3878666	C++	HarveyGW	
5	19.78	3492840	3099853	C++	stormKx18	
5	19.73	1528274	2057543	Ruby	BlanCap	
5	19.72	1715391	2052019	Java	Skolin	
5	19.66	2653642	2211544	C++	AnhDuyNguyen	
5	19.62	1163546	2052757	C#	Pyou	
5	19.61	1931824	2057545	Java	Litops	
5	19.6	2242201	2052862	C++	Maryan	
5	19.52	1470927	3848340	C++	ClementAvenel	
5	19.51	2436448	2052866	Java	FrancoisMeme	
5	19.51	1857772	2083709	Go	darkange69	
5	19.45	3721214	3100459	C++	jrke	
5	19.44	1295026	3745132	C++	Cartosses	
5	19.43	3866882	3050177	Go	crystal_prince	
5	19.42	4090396	3663973	Go	Coder-JK	
5	19.42	2416641	3093605	Python3	Zenoscave	
5	19.33	1071140	2052001	C#	BeberLeNewbie	
5	19.32	3363565	2975295	Go	BloodRayne	
5	19.31	1314162	2139611	OCaml	Gobi03	
5	19.26	1201796	2091423	C++	P.Greze	
5	19.26	1764618	2052060	C++	ave99	
