League	Score	UserID	AgentID	Lang	Pseudo	#multi,count=556,time=2019-10-24 00:30:13
6	26.35	3243532	2334271	Python3	teccles	
6	26.23	880353	2334229	Python3	zasmu	
6	26.08	154312	2335860	C++	ThomasNicoullaud	
6	25.6	2288263	2334258	Rust	dbdr	
6	25.57	1629259	2340310	C++	Marchete	
6	25.22	820000	2334269	C++	ValGrowth	
6	24.97	2522090	2334243	C#	MSmits	
6	24.77	610934	2334268	C++	y_kawano	
6	24.77	837350	2334264	Python3	BorisZ	
6	24.5	1500515	2334235	C#	eulerscheZahl	
6	24.38	3136376	2334970	Python3	O_A_K	
6	24.21	155881	2335052	PHP	Hevey	
6	23.85	2350846	2334249	C++	DrBloodmoney	
6	23.78	2386035	2334245	Python3	Samsonov	
6	23.67	1607522	2334238	Go	RoboStac	
6	23.46	1921687	2348598	Python3	Black-Born	
6	23.36	2924895	2357943	C	trictrac	
6	22.87	1616900	2334250	Python3	Spy7	
6	22.81	1489865	2334256	Python3	EricSMSO	
6	22.79	2906497	2334239	C++	daaskare	
6	22.66	568476	2334299	Java	Dje54	
6	22.48	3213465	2334244	Python	Gegene	
6	22.42	1845617	2334259	Kotlin	Shingy	
6	22.41	1734105	2334241	Python3	Bibou	
6	22.32	2290633	2334272	Python3	field3	
6	22.29	1479930	2357627	C++	LeRenard	
6	22.29	1685694	2334267	C++	tashikani	
6	22.22	3230794	2334246	Python3	tutubalin	
6	22.21	1818159	2334446	C++	JRFerguson	
6	22.19	1314316	2334643	C++	jolindien	
6	22.19	1814485	2334265	C#	Fluttershy	
6	22.15	841085	2334270	C#	Risen	
6	22.15	154984	2334262	C++	_Royale	
6	22.15	1436776	2334254	C++	BrainSolver	
6	22.12	1944726	2334260	C++	bourgeof	
6	22.12	893541	2334233	Java	wala	
6	22.12	1854246	2334253	C++	Counterbalance	
6	22.09	3245819	2358902	C#	TomA	
6	22.06	416762	2334261	Javascript	Khao	
6	22.05	1386456	2334230	C#	wvsever	
6	22.05	2510531	2334251	Python3	Jamproject	
6	22.01	1579627	2339842	C#	Bahrani	
6	21.92	1225445	2433141	C#	Lentaq	
6	21.88	2123423	2506986	PHP	splanard	
6	21.87	1333727	2334242	C++	mai	
6	21.85	1073240	2334228	C++	IvanSchro	
6	21.84	648751	2334653	Haskell	dabino	
6	21.83	403748	2334236	C#	[CG]SaiksyApo	
6	21.62	1953062	2334266	C++	YukiOda	
6	21.54	1341520	2354604	C	egaetan	
6	21.5	1896065	2334657	C++	feofan	
6	21.48	1335230	2334294	Python3	jft63	
6	21.37	754792	2336677	C++	Ramdeath	
6	21.3	2043908	2460093	C++	AntiSquid	
6	21.15	1740037	2334298	Scala	ereiam	
6	21.09	1407621	2339788	C++	Taohbi	
6	20.98	886483	2334650	ObjectiveC	R4N4R4M4	
6	20.94	1740232	2334656	Javascript	elen	
6	20.91	1036976	2334905	Python3	MojoJojo	
