League	Score	UserID	AgentID	Lang	Pseudo	#multi,count=147,time=2020-11-22 02:30:26
2	34.5	2924895	3167266	C	trictrac	
2	31.27	1479930	3281560	C++	LeRenard	
2	31.16	1500515	3168124	C#	eulerscheZahl	
2	30.76	2968035	3171377	C++	DomiKo	
2	30.75	4014644	3166996	Java	SergioFx	
2	30.47	2288263	3123153	Rust	dbdr	
2	30.06	1489865	3114090	C++	EricSMSO	
2	29.65	1848459	3163477	Kotlin	Velcoro	
2	29.28	2135916	3168063	Python3	Oioi	
2	28.95	3756199	3173446	C++	KnightMoves	
2	28.83	917321	3171658	C#	wajyae	
2	28.08	3443015	3157950	C++	Wozniak	
2	27.27	3525167	3168377	Python3	fgsdt	
2	26.74	311035	3124005	Python3	leojean890	
2	26.7	3141948	3166036	Python3	philRG	
2	26.53	4039328	3160038	C++	KleinesAtom93	
2	26.47	2923506	3131429	C++	darkhorse64	
2	25.43	2407868	3162751	Python3	ravenbluedragon	
2	25.32	4035013	3161700	PHP	sclement	
2	24.56	2290633	3113138	Python3	field3	
2	24.23	3914828	3173280	Python3	conadal	
2	24.17	1838289	3143262	C++	Dagal	
2	23.91	4041254	3163769	Python3	bobmath	
2	23.56	517890	3241610	Python3	Altaire	
2	23.48	2416641	3116988	C++	Zenoscave	
2	23.31	1078154	3159225	Python3	JDuke	
2	22.82	3136787	3172797	Python3	jacek	
2	22.79	3513265	3172130	C++	DaNinja	
2	22.53	1412263	3121485	PHP	PatrickMcGinnisII	
2	22.33	4039528	3164325	Python3	Elnaril	
2	22.3	1378958	3114025	C#	Illedan	
2	22.01	499209	3164560	PHP	Tom85	
2	21.95	4018623	3162517	C++	ExileDaniel	
2	21.84	3253187	3172628	C++	mivael	
2	21.82	1105817	3159873	Python3	MaximeF	
2	21.76	862919	3144033	C++	Astrobytes	
2	21.51	2592027	3163763	C#	ParticleBeam	
2	21.44	4022724	3161508	Javascript	Here_s_Chopi	
2	21.32	394551	3218517	Java	Mycopka	
2	20.97	2566623	3168640	PHP	VincentBab	
2	20.55	1490383	3167685	C++	arkwaw	
2	20.28	3086748	3226657	Python3	Andy314	
2	20.26	973040	3122531	C	papyjo	
2	20.25	2254195	3166781	Javascript	BrunoFelthes	
2	20.21	627466	3164198	C	~qharscoe	
2	20.17	2251690	3162836	Python3	Vedaj	
2	20.13	2043908	3150585	Java	AntiSquid	
2	19.89	3721214	3171979	C++	jrke	
2	19.87	1979380	3173246	Python3	beatwinthewave	
2	19.79	1195856	3167955	Java	daifei4321	
2	19.37	4036892	3165136	Python3	maduma	
2	19.33	1022266	3170501	Python3	theopan	
2	19.22	3923007	3161389	C++	bouriquet	
2	19.07	1200669	3165548	Python3	houseofsuns	
2	19.06	3622757	3141020	Java	anid	
2	19.03	4036541	3168638	C++	Chitose	
2	18.97	3626782	3163785	Python3	MattSOrme	
2	18.78	3922731	3118985	Dart	Dartisan	
2	18.61	3190000	3214348	Python3	virgileTN	
2	18.49	3789595	3163770	Python3	jgmp	
2	18.22	3972994	3160000	Python3	BrainyPanda	
2	18.17	483321	3171101	C#	Clagus	
2	18.01	3501209	3158803	Python3	Whatar	
2	17.99	792813	3123512	Python3	VilBoub	
2	17.87	4025958	3171107	Javascript	BorisDP	
2	17.6	3302221	3194195	C++	Matthieu74	
2	17.51	1949687	3171081	Python3	BrunoGianardo	
2	17.48	4046903	3168641	C#	Matt_Eagle	
2	16.95	3313116	3158877	Python3	LeoChiMinh	
2	16.77	888898	3158798	C++	helgui	
2	16.56	2631438	3171075	Python3	Lartifroid	
2	16.53	2353603	3194194	Pascal	MrSok	
2	16.39	2064322	3171119	Dart	whathewatt	
2	16.35	3983849	3163730	Python3	iSsOo	
2	16.04	3807257	3171106	Python3	MoonLyss	
2	15.52	4035976	3171120	Javascript	ploubier	
2	13.73	3808031	3170606	Ruby	_proton	
1	25.09	878168	3174121	Python3	Czaporka	
1	24.62	4040965	3167337	Javascript	Twistman	
1	24.12	3881333	3165361	Javascript	TintinMilou	
1	24.1	3517572	3280749	C++	Sharkxzzx	
1	23.93	914092	3160150	C++	BB	
1	23.61	3290897	3161111	Python3	FlaMe	
1	23.54	904197	3166671	PHP	CramSan	
1	23.52	4026061	3161014	Javascript	gvigroux	
1	23.42	2000899	3165102	C#	GeoBlack	
1	23.04	2063592	3158020	Python3	Gbaud	
1	23.04	4041725	3164200	Javascript	saoT	
1	22.71	2981260	3161200	Python3	PAO	
1	22.58	3682707	3158867	Javascript	ThePr0digy	
1	22.27	4038761	3165203	Python3	Leirn	
1	22.05	4046210	3165421	C#	Firow	
1	22	2218790	3168544	Python3	31m3r	
1	21.66	1030415	3166734	Python3	Eman	
1	21.63	3017977	3167875	C++	YahyaSemih	
1	21.57	1546445	3161067	PHP	didoo	
1	21.16	1023971	3165858	C++	taa	
1	20.75	4046306	3167618	Python3	Juniior	
1	20.71	1227148	3174061	Python3	Schneewittchen	
1	20.69	173805	3168430	C#	Storm	
1	20.49	909782	3161608	Go	Harkness	
1	20.09	2678120	3167118	C#	Csucsesz	
1	17.75	3484291	3165037	Kotlin	Al3xCalibur1	
1	14.14	411147	3169305	C#	HunterX	
1	13.59	4028137	3165319	Javascript	AliRAIKI	
1	13.38	1667868	3165208	Python3	parvus	
1	12.95	4017642	3161025	C#	Nuggest	
1	12.55	4041727	3165321	C++	oscrazy	
0	24.06	3977423	3230220	Javascript	tobudim	
0	23.99	490905	3167611	Python3	lechium06_	
0	23.21	4037086	3158668	C++	ivgechu	
0	22.53	3986479	3160532	Python3	sbrnc	
0	22.2	2342135	3161087	Java	benoyt	
0	21.73	599497	3159938	C++	codybumba	
0	19.77	1309948	3162901	C++	Runner87	
0	19.58	3722545	3159745	Kotlin	Hiboooo	
0	19.22	1893871	3160762	Python3	RedCosti	
0	17.68	4033813	3158832	C#	TempusFugit	
0	17.04	3938408	3166198	C++	Rub1k	
0	16.41	2712597	3158073	Python3	Bayonapro	
0	16.32	3691491	3160112	Javascript	icecream17	
0	16.16	2508635	3158028	Java	hemhel	
0	13.83	1108960	3164186	C++	ing-chuck	
0	8.55	3989427	3158597	Python3	LaurentHrt	
0	8.39	4003501	3159208	Python3	azertyty	
0	8.29	4015974	3162457	Python3	Daclio	
0	8.29	3660819	3163794	C++	BloodyTurtles	
0	7.5	3919005	3158969	C++	tchastai	
0	7.44	1849062	3159513	Python3	AnkitAnand_12	
0	7.33	1341520	3142997	Java	egaetan	
0	7.23	1830625	3160813	C++	-Rutger-	
0	7.18	3565753	3164057	Java	SergioLuna13	
0	7.16	2245636	3160557	Javascript	Etoiline	
0	7.11	3039456	3159734	Java	SabertheLost	
0	7.1	4029033	3150738	TypeScript	3DPerson	
0	7.02	2583696	3160705	Python3	eCoder.io	
0	6.96	3795982	3162919	Java	Laffont_Emile	
0	6.94	2156856	3158707	C++	Architektor	
0	6.92	3772945	3167804	Python3	Ucf	
0	6.92	807967	3161024	Haskell	Pizza	
0	6.91	4029718	3163411	C++	Chrystal	
0	6.9	1713174	3121371	Python3	BigUP	
0	6.89	1775154	3165145	Go	Voltron	
0	6.87	3842044	3160127	C#	cuc9812	
0	6.79	1861258	3167341	Rust	Nazdhun	
0	6.6	2612889	3163110	C#	Symphonia	
0	6.58	3992388	3124137	C++	aaaa111	
