League	Score	UserID	AgentID	Lang	Pseudo	#multi,count=38,time=2022-12-12 00:30:11
1	42.86	3136787	3879250	C++	jacek	
1	37.21	2924895	3864336	C	trictrac	
1	30.95	1540478	3861097	C++	struct	
1	30.78	862919	4324438	C++	Astrobytes	
1	30.66	1489865	3864128	C++	EricSMSO	
1	27.4	1479930	3908911	C++	LeRenard	
1	21.53	3457031	3862230	C++	YurkovAS	
1	16.09	2923506	3868458	C++	darkhorse64	
1	10.49	1802967	4445291	Python3	Meruem	
1	8.12	311035	3890146	Python3	leojean890	
1	-3.7	2981630	4324144	C++	AstroHydes	
0	30.13	2290633	3867871	Python3	field3	
0	28.26	894599	4288871	Java	DidierC	
0	22.99	1475413	4325315	Javascript	AlucardDH	
0	22.77	3647844	3953741	Python3	rc95401	
0	22.26	2169719	3890555	C	KaluTheFrog	
0	21.94	4390912	3929387	Python3	Benoit_Belasco	
0	21.07	1412263	4007972	PHP	PatrickMcGinnisII	
0	19.07	792813	3933203	Python3	VilBoub	
0	18.01	3141948	3865108	Python3	philRG	
0	13.08	2069141	4294627	C#	tomeko	
0	12.12	3569066	3861081	C++	derjack	
0	12.01	1883670	4398213	Javascript	radekmie	
0	12.01	4626700	3955767	PHP	JohnyDarecek	
0	11.98	973040	3909765	F#	papyjo	
0	11.95	2325449	3992974	Perl	otpv	
0	11.88	4183089	3985095	Python3	PringleOrange	
0	11.88	4508271	3906830	Python3	The-remainer	
0	11.86	4277867	4402669	D	About	
0	11.83	4646980	3985584	Python3	Kururugi	
0	11.83	3230794	4064112	Python3	tutubalin	
0	11.81	3354337	4070318	C++	Westicles	
0	11.77	2976356	4405706	C++	magmasa	
0	11.66	3344383	4404123	C++	Czejoo	
0	11.58	2779063	4397214	Python3	LegendsOfCodeAndMagic	
0	11.42	4282042	4397268	Java	aCatAI	
0	11.32	1713174	3874782	Python3	BigUP	
0	-4.24	484004	4397126	Rust	aCat	
