League	Score	UserID	AgentID	Lang	Pseudo	#multi,count=192,time=2021-12-06 00:30:06
0	59.4	3965571	3915214	Python3	Smekarn	
0	55.18	4614378	3916797	C#	BloodySall	
0	52.68	4594650	3918735	Python3	d.coder	
0	49.65	3235897	3921606	Java	Zylo	
0	49.64	3586725	3921271	PHP	obrozer	
0	48.57	2924895	3921091	C	trictrac	
0	48.49	1205008	3849907	PHP	Trisard	
0	46.64	4564296	3921064	Java	E_Mantix	
0	46.17	3556476	3920718	C++	YohanC	
0	43.81	311035	3921545	Python3	leojean890	
0	43.51	1947436	3912317	Python3	MoosPow	
0	42.83	3946840	3909525	C#	DirkieDurky	
0	42.66	2090434	3916161	Java	natrian	
0	42.55	4096208	3911679	Java	maxi97	
0	41.77	1859368	3909633	Javascript	MuratC	
0	41.27	4605516	3909125	C++	DevOops	
0	40.91	304126	3911500	PHP	kami	
0	40.51	2290633	3851884	Python3	field3	
0	39.9	4620967	3909890	Java	Abaque	
0	39.84	3902927	3906700	Python3	Bulgot	
0	39.73	4595389	3910631	Python3	Yatagan	
0	38.36	3784348	3909923	Javascript	PauliCZ44	
0	38.35	3494301	3861222	Python3	CoreyCV	
0	37.76	4253472	3905454	Java	GreyRaven	
0	37.73	2042572	3911875	Python3	i_am_noob_abc	
0	37.71	4492526	3905732	Java	Timonwalk	
0	37.7	2217572	3913039	Python3	Ben9	
0	37.62	4361982	3883762	Javascript	htmlhigh5	
0	37.57	4622964	3911865	Python3	Haradwaith	
0	37.57	4553650	3912365	Python3	JRBensa	
0	37.56	1852554	3908921	C#	Rip	
0	37.43	4605393	3905710	C#	Emanuele.Fasano	
0	37.34	4559916	3905389	Javascript	Karne	
0	37.17	4074267	3908412	C++	Alex_V-H	
0	37.03	4607374	3908253	C++	B3rty	
0	37.01	3091781	3910800	Python3	Chomb	
0	36.78	1186250	3850523	C#	Gabbek	
0	36.77	4591407	3904698	TypeScript	phillyv	
0	36.66	1475736	3906086	Javascript	mlaffargue	
0	36.66	3657937	3921320	Python3	elderlybeginner	
0	36.42	973040	3852079	F#	papyjo	
0	36.14	3306551	3911612	Python3	StoneRiverPrg	
0	36.01	2923506	3914890	C++	darkhorse64	
0	35.9	4614906	3915840	Java	Rex7.9.3.	
0	35.33	4530925	3911693	Java	ShuRuPin	
0	35.08	4589105	3920610	Kotlin	ED222	
0	34.97	154901	3907003	Go	jybateman	
0	34.87	3533314	3908962	C#	skotz	
0	34.76	1770280	3906258	C#	Maxboyer	
0	34.63	4493523	3913136	C++	Fynjy1313	
0	34.6	2491616	3908671	Haskell	abt8601	
0	33.82	3121191	3909701	C++	ZeroBlitz	
0	33.54	1600949	3907837	PHP	Kishlin	
0	33.02	4334237	3906329	Javascript	BJD	
0	32.96	3323461	3908007	Python3	Misrolox420	
0	32.94	1015058	3912576	TypeScript	Stratubas	
0	32.93	4570242	3906033	C#	Milanovich	
0	32.92	4140676	3911706	Java	Jankoo	
0	32.92	4325385	3908559	Python3	chescales	
0	32.89	1029602	3856104	C	Potemkine	
0	32.89	1944090	3907703	C#	spaceorc	
0	32.83	4625109	3912074	PHP	heiko.schlabach	
0	32.81	2793377	3911056	Java	MixWit	
0	32.8	4018239	3906673	Java	MACKEYTH	
0	32.77	1843683	3911968	Javascript	Sn4tch	
0	32.64	2813247	3911086	C++	Maurice3113	
0	32.58	4055364	3904931	TypeScript	SamuelK	
0	32.55	4615397	3904431	Ruby	Leandro-Matayoshi	
0	32.4	4532085	3907617	Java	Othamae	
0	31.94	3984040	3917009	Java	ClementMateo	
0	31.78	2422378	3904264	Javascript	C2H5OH	
0	31.63	4595742	3911085	Java	Stephanie31	
0	31.34	4622316	3909787	Javascript	Jathrone	
0	31.18	4217776	3916436	C#	Thorbo	
0	30.36	3657944	3922137	Python3	xyz-1	
0	30.27	4607898	3905671	Python3	gun_kodlnw	
0	30.24	4621820	3910571	Javascript	JorgeEP	
0	30.11	4612544	3910376	Python3	AnthonyBarbe	
0	29.94	4569040	3912717	Go	Arkondiel	
0	29.73	1593992	3868738	Python3	nierin	
0	29.72	4616983	3905518	Python3	invisal	
0	29.67	4610238	3912612	Dart	stefaniamak	
0	29.53	1479930	3845113	Python3	LeRenard	
0	29.51	2709791	3911356	Python3	YOMar	
0	29.51	3450957	3910401	Python3	0113H	
0	29.38	1412263	3845878	PHP	PatrickMcGinnisII	
0	29.22	1861258	3904806	Rust	Nazdhun	
0	29.15	2468771	3914229	PHP	AnthonyBranca	
0	29.1	4592681	3919539	C#	Urutar	
0	29.04	3242055	3920925	Python3	muchaco	
0	28.99	2827154	3910287	Python3	Lenom	
0	28.72	4323047	3912619	PHP	2s	
0	28.52	4562859	3907007	Java	JeremyRoussy	
0	28.36	3178654	3853599	Scala	LinusRoman	
0	28.34	949137	3909866	Java	RomanV	
0	27.97	4218431	3850370	Python3	AkihitoUni	
0	27.95	4136008	3906535	Python3	jerry_laevis	
0	27.83	1500515	3906399	C#	eulerscheZahl	
0	27.75	1884530	3906763	Python3	PetitBonney	
0	27.74	3951098	3906659	Python3	SlurpasGasskagg	
0	27.73	1077199	3907229	Python3	Lilymage	
0	27.67	3516345	3904094	C	Jp82	
0	27.66	3521761	3907838	Python3	johandroid	
0	27.65	2612889	3855078	Python3	Symphonia	
0	27.64	1203127	3904794	Python3	Agraou	
0	27.61	4612540	3911610	C++	Fieldyturbo19	
0	27.48	4623285	3910903	Python3	LazyBadger	
0	27.46	3032166	3905564	C#	random_cast	
0	27.45	4608332	3910490	Python3	angd	
0	27.29	1287188	3905214	Python3	Scolapasta	
0	27.23	1469666	3906439	C++	alenic	
0	27.13	4034596	3912313	Python3	martin0806	
0	27.11	1743344	3911009	TypeScript	ush189	
