League	Score	UserID	AgentID	Lang	Pseudo	#multi,count=1438,time=2020-03-22 16:10:37
6	41.1	1400179	1501706	C++	reCurse	
6	38.71	351062	2139699	C++	Neumann	
6	38.13	524638	1618734	C++	miklla	
6	36.41	854952	1779503	C++	dolmen1234	
6	36.31	1629259	2229921	C++	Marchete	
6	36.1	1452472	1469628	C++	Daporan	
6	35.24	1607522	1581365	C++	RoboStac	
6	34.71	1802419	1441625	C++	shummie	
6	32.54	735910	1772475	C++	Agade	
6	32.24	1673971	1416605	C++	Lanken	
6	30.9	1314316	2125624	C++	jolindien	
6	28.61	1203167	2084111	C++	r3versi	
6	27.38	154984	2048705	C++	_Royale	
6	27.25	1061242	1616350	C++	Csipcsirip	
6	27.19	832306	1414591	C++	pb4	
6	26.97	1549145	1421958	C++	Mealc	
6	26.94	1479930	1740157	C++	LeRenard	
6	26.01	1489865	2464859	C	EricSMSO	
6	24.83	805067	1414596	C++	Magus	
6	22.47	1082988	1666579	C	Saelyos	
6	21.88	1944090	1734245	C#	spaceorc	
6	21.16	1671658	1607042	C++	Kirbiby	
6	20.84	1877348	1428898	C++	harshch000	
6	20.83	2474201	1764650	C#	melanholy	
6	20.78	735487	2110425	C++	amurushkin	
6	20.74	1152991	1737910	C#	xoposhiy	
6	20.09	1183615	1734738	C++	Phil9l	
6	19.42	593523	1426774	C++	supermassive	
6	19.32	972894	1853798	C++	resty-daze	
6	19.03	2473585	1844154	C#	Leoltron	
6	18.91	1022925	1436220	C++	Adrien.	
6	18.23	1860953	1763052	C++	Miarem	
6	17.05	1415495	1488431	C	fenrir	
6	17.04	1378958	1949003	C#	Illedan	
6	16.72	1857831	1427446	C#	pbunny	
6	16.32	1716299	2322202	C++	micky924	
6	16.12	902324	1814449	C#	Tinsane	
6	15.77	1518732	2319731	Java	Apfeloxid	
6	15.7	2480831	1770654	C#	mopozko	
6	15.51	1323814	1440681	C	SatineChatounette	
6	15.22	2473662	1849668	C#	Ollisteka	
6	15.22	403748	1414590	C#	[CG]SaiksyApo	
6	15.05	2043908	2234505	Java	AntiSquid	
6	14.85	1898847	1416352	C	faga	
6	14.78	1106450	1609643	C++	RiSuS	
6	14.29	335954	1628659	Java	nmahoude	
6	14.11	1500515	1508684	C#	eulerscheZahl	
6	14.08	2161313	1938860	C#		
6	13.69	1718945	1627892	Java	ilovebugs	
6	13.28	1050159	1647645	C	speedloop	
6	10.71	1481544	1830134	C++	ZarthaxX	
6	7.5	1606588	1508562	C++	inoryy	
6	6.69	2090459	1465490	C	aleeraser	
6	5.24	1994076	1463107	C	Maldus	
6	4.86	2046648	1470885	C	Stom	
6	3.69	2051334	1416606	C++	Dwarth	
5	32.98	2474205	1873134	C#	zugzwang	
5	32.88	2473610	2226275	C#	Martyanovst	
5	31.73	1417361	1866696	C#	Griboedoff	
5	31.33	1870937	2616359	Java		
5	31.3	1206537	1512750	C++	MadKnight	
5	31.17	2473980	1866727	C#	corteso	
5	31.01	226528	1450546	C++	Manwe	
5	30.17	528262	1408480	C	Niii	
5	29.57	2473192	1765979	C#	game-ai-course	
5	29.32	1258533	1418344	Python3	MathJason	
5	27.88	886483	1498601	ObjectiveC	R4N4R4M4	
5	27.74	1647133	1507332	Java	ilt	
5	27.12	841085	1408493	C#	Risen	
5	27.05	880353	1582431	C++	zasmu	
5	26.88	1818159	1732004	C#	JRFerguson	
5	26.86	1903031	1768950	C++	hard-coded	
5	26.63	1816783	1676264	C#	NightLuna	
5	26.39	1194069	2144184	Java	Redstrike	
5	26.21	1566335	2597090	Java	BeardedWhale	
5	25.52	1071140	1409532	C#	BeberLeNewbie	
5	25.48	153774	1971198	C++	cocoche007	
