League	Score	UserID	AgentID	Lang	Pseudo	#multi,count=243,time=2021-05-25 00:30:18
4	34.7	1400179	2355338	Python3	reCurse	
4	32.45	351062	2355013	C++	Neumann	
4	29.11	1607522	2351976	C++	RoboStac	
4	27.44	1314316	2357237	C++	jolindien	
4	24.87	832306	2969396	Python3	pb4	
3	30.13	1479930	2605652	C++	LeRenard	
3	28.32	1480501	2354996	C++	DaFish	
3	28.08	1489865	2359056	C++	EricSMSO	
3	28	2522090	2348045	C++	MSmits	
3	26.62	2718975	2351576	C	mykeich	
3	23.41	1109979	3424318	C++	Gloopy	
3	22.46	1378958	3525124	C#	Illedan	
3	17.13	966447	2898727	Python3	Gagat	
3	-2.7	3076371	2355440	C++	Krakota	
2	35.42	1206537	2349784	C++	MadKnight	
2	32.15	1756952	2354542	C#	Petras	
2	32.1	1194069	2345602	Java	Redstrike	
2	28.64	950512	2351860	C++	salim.aboubacar	
2	26.93	1854246	2345729	C++	Counterbalance	
2	25.89	1680988	2345012	Java	.[-_-].	
2	25.53	735910	2337341	C++	Agade	
2	24.45	3165536	2346999	C#	barbora	
2	22.89	2968035	3381390	C++	DomiKo	
2	21.22	424510	2345473	Kotlin	csj	
2	20.7	2924895	2632939	C	trictrac	
2	20.06	1869024	2344911	Java	Xa2017	
2	18.96	3269275	2341834	C#	Ille-Stream	
2	18.06	862919	3055951	C++	Astrobytes	
2	17.09	1855741	2399017	Java	MrKIP	
2	14.92	828239	2355575	C#	[SG]Bisou	
2	14.82	1457162	2585303	C++	JFB	
2	13.51	2786666	2356675	C++	TetraktysPhi	
2	12.26	2043908	3481516	C++	AntiSquid	
2	10.67	1415495	2355091	C	fenrir	
2	3.21	3362602	2421263	C++	nulte	
2	1.18	3457489	2474069	C++	LPV	
2	-7.18	1078928	2970441	Python3	cnn	
1	25.37	4094230	3360250	Python3	s9978	
1	24.42	4093632	3360236	Python3	hawk404	
1	24.37	4103793	3359568	Python3	Pierre99	
1	24.22	338469	2345150	Rust	__mcts__	
1	23.19	1691194	2353264	Python3	fernsham	
1	23.12	1480384	2417024	C++	RockyMullet	
1	22.92	2416641	2836416	C++	Zenoscave	
1	22.58	4111056	3359774	Python3	afterglow	
1	22.23	2923506	2479453	C++	darkhorse64	
1	22.02	3721214	3356649	C++	jrke	
1	21.94	4112196	3360069	Python3	rafapablos	
1	21.66	3235897	3685341	Java	Zylo	
1	20.48	4110651	3358746	Java	Bodolaru	
1	20.47	788361	2346193	C++	Bob	
1	20.44	3119894	2351393	C++	joleNeuNeu	
1	20.3	4096100	3357895	Java	doublerUc3m	
1	19.99	1178401	3142659	Python3	mizzHuarta	
1	19.8	4110129	3358579	Java	ManuelOrtizEstivalis	
1	19.27	4090602	3353521	Python3	aarongmduran	
1	19	2728732	2340875	Kotlin	Kroppeb	
1	18.53	2288263	3684824	Rust	dbdr	
1	18.37	232528	2984900	C++	cegprakash	
1	18.21	4107517	3355477	Python3	shiba31	
1	18.18	1740037	2344399	Scala	ereiam	
1	18.07	4101689	3377036	Python3	Edu260514	
1	17.62	1713174	2354661	Python3	BigUP	
1	17.58	2290633	2336331	Python3	field3	
1	17.56	2474883	2345293	Python3	lakeoverflow	
1	17.46	1518504	2348099	Kotlin	bohuss	
1	17.25	1253664	2355739	Python3	Arinelle	
1	17.25	331880	2341159	Kotlin	Monstruo	
1	17.13	4073052	3359649	Python3	slrn	
1	17.11	371603	2675568	Ruby	martin	
1	17.09	1394530	2482752	Rust	Idleless	
1	17.05	1082988	2336081	Python3	Saelyos	
1	17	1029602	2351242	C	Potemkine	
1	16.8	1362700	3099715	Javascript	TomasFerreira	
1	16.78	1629402	2346424	Haskell	asvyazin	
1	16.61	1871471	2344560	Python3	Trit0r	
1	16.6	884874	2347798	Ruby	Zauberer	
1	16.48	4101612	3351212	Python3	Andres11697	
1	16.4	314562	2347247	Javascript	Mechar	
1	16.35	3622757	3004211	Python3	anid	
1	16.1	4111145	3358904	Java	sylnyma	
1	16.07	3749793	3035862	Python3	WINWINWIN	
1	15.77	4110957	3358689	Python3	copaistein	
1	15.58	4109622	3358949	Java	Movi	
1	15.56	1351763	2604345	Ruby	gatto	
1	15.48	4110958	3358841	Python3	soyconchaentro	
1	15.4	1572888	2340009	Python3	DirtyHarry	
1	15.19	1441239	3334201	Kotlin	Dyd	
1	15.19	4110962	3358714	Python3	elPedazo	
1	15.14	4101192	3368498	Java	IvAn9K	
1	15.12	878168	2354807	Python3	Czaporka	
1	15.05	1243876	3447559	Java	Hi-Low_World	
1	15.04	1673512	3128982	C++	Ryoken	
1	15.04	3851280	3347363	Python3	Ic3	
1	14.83	1412263	2344749	PHP	PatrickMcGinnisII	
1	14.83	3922731	3626337	Dart	Dartisan	
1	14.65	155774	2834610	PHP	dwarfie	
1	14.52	2792232	2345680	Python3	Monoterpene	
1	14.49	4094625	3339617	Python3	alejanpa17	
1	14.39	4110840	3358859	Java	Xantras	
1	14.3	734401	2834615	C++	b0n5a1	
1	14.18	797590	2344979	Python	HypnagogicJerk	
1	14.12	4104187	3351598	Python3	Santivi	
1	14.05	754792	2354297	C++	Ramdeath	
1	13.97	1515891	2502600	Kotlin	ndc	
1	13.81	973040	2703202	C	papyjo	
1	13.71	1108200	2355786	C++	MarkWyz	
1	13.71	316274	2345437	Python3	grivin	
1	13.67	1404934	2347120	Rust	tarriel	
1	13.67	2496805	2341440	C#	Cyrela	
1	13.63	2497890	2341278	C#	BlackBird	
1	13.61	311035	3391399	Python3	leojean890	
1	13.59	1783604	2336113	C	Vry	
1	13.55	2346031	2345713	C#	Fr1z2r	
1	13.3	1589811	2354056	Java	imrel	
1	13.18	321003	2346517	Python3	mixam85	
1	13.15	4111309	3359174	Python3	Pedro_uc3m	
1	13.15	3691491	2792147	Javascript	icecream17	
1	12.99	1272263	2345212	Python3	Caled	
1	12.86	4059753	3353161	Python3	1ez	
1	12.54	1895212	2345247	Python3	Maxlaxs	
1	12.49	826655	2631949	Java	[lazy]Opera	
1	12.35	888898	2688158	C++	helgui	
1	12.25	4089252	3408958	Python3	Miki09	
1	12.21	1838289	2340099	C++	Dagal	
1	12.12	2853682	2631940	Java	jackson923	
1	12.06	4048841	3326356	Python3	IcyFlamer1	
1	12.06	2069141	3347126	C#	tomeko	
1	12.05	1829569	2468529	Python3	[0___0]	
1	12.01	854952	2341299	Java	dolmen1234	
1	11.95	1672962	2351025	Python3	Frenzy	
1	11.89	2023368	2355099	C++	Chk	
1	11.75	1584802	2336431	Python3	emh	
1	11.68	814685	2348554	Javascript	AthosPyte	
1	11.59	1361840	2476670	Kotlin	KamilRajtar	
1	11.27	1491995	2339263	C#	Tyir	
1	11.1	2913299	2351199	C#	Eric_Neu	
1	11.09	4189794	3682805	Python3	M1S0	
1	11.06	905122	2490418	Python3	nILS	
1	10.95	4047014	3170164	Python3	TolstY	
1	10.95	3082494	2355435	Python3	alarih	
1	10.85	1269816	3349100	Java	cguzman	
1	10.82	3386139	2496864	Python3	MaliciouslyCrypticUsername	
1	10.77	3075864	3348963	Java	Irfaan	
1	10.69	1063491	2487996	Python3	bug_sniper	
1	10.57	4064173	3355739	C#	Alurian	
1	10.54	1616900	2349868	Python3	Spy7	
1	10.41	1753077	2336043	C++	codingWhale	
1	10.34	1114834	2336927	Python	k4ng0u	
1	10.25	828213	3349122	Go	anst	
1	10.03	889789	2631937	C	Alain-Delpuch	
1	9.93	1418821	3339611	C++	input.txt	
1	9.9	4089671	3348960	Java	jblanc	
1	9.85	2839534	2354044	C	sbedene	
1	9.74	3187634	3351239	Python3	Stigma	
1	9.69	792813	2336912	Python3	VilBoub	
1	9.66	1861258	2337250	Go	Nazdhun	
1	9.43	1939843	2354697	Python3	Aging_Nerd	
1	9.28	1754295	3355449	C++	SF	
1	9.11	3522147	3003004	Javascript	Gotham	
1	8.97	3141948	3382625	Python3	philRG	
1	8.95	1019835	2351728	Python	ncflipp	
1	8.85	568476	3348954	Java	Dje54	
1	8.63	1812801	2354054	Python3	Chauca	
1	8.57	3136376	3355443	Python3	O_A_K	
1	8.52	2573097	3358677	C#	tomas2342	
1	8.3	1835014	3358536	C	Frits	
1	8.21	1292086	3353138	Java	OlegUshakov	
1	8.04	214694	3349151	Python	Pac	
1	7.5	1179357	2349281	Javascript	avdg	
1	7.24	2765820	2336911	C++	reCurs3	
1	6.91	2572485	2346004	Ruby	DGynn	
1	6.69	1458157	2346609	C	chocolatecharlie	
1	4.34	1889651	2353743	Python3	Aether_Luminifer	
1	1.47	1734105	2352987	C++	Bibou	
0	18.73	1876212	2348454	Python3	PFischbeck	
0	18.66	1830625	2345067	C++	-Rutger-	
0	18.49	886483	2340886	ObjectiveC	R4N4R4M4	
0	17.99	1288527	2445867	C++	Snef	
0	17.02	3577808	3357295	Python3	isak13	
0	16.97	3513265	2623683	C++	DaNinja	
0	16.7	3339651	2354281	Rust	Phileas	
0	16.62	1792707	2345714	C++	Rumata	
0	16.62	4090064	3333553	Java	juampamm	
0	16.61	1335590	2353994	C++	sztmbr	
0	16.61	811622	2338336	Python3	Scarfield	
0	16.49	2221374	2492106	Java	philouche	
0	16.34	1528274	3001064	Ruby	BlanCap	
0	16.28	3536382	2674979	Python3	FranckR34	
0	15.86	2830786	2347333	Python3	Kan-Artem	
0	15.33	297557	3153880	Python3	rwilson	
0	15.2	1043290	2347046	Kotlin	Minsky	
0	14.86	4082867	3525336	Python3	Tiger-The-Cat	
0	14.69	1406638	2339795	Java	[CG]Thibaud	
0	14.5	1391477	2504717	Python	Lodraxum	
0	14.29	3090207	2344662	C++	ufsans	
0	14.29	392581	2407177	Java	goq	
