League	Score	UserID	AgentID	Lang	Pseudo	#multi,count=250,time=2021-11-01 00:30:06
4	34.7	1400179	2355338	Python3	reCurse	
4	32.45	351062	2355013	C++	Neumann	
4	29.11	1607522	2351976	C++	RoboStac	
4	27.44	1314316	2357237	C++	jolindien	
4	24.87	832306	2969396	Python3	pb4	
3	28.91	1480501	2354996	C++	DaFish	
3	28.73	1479930	2605652	C++	LeRenard	
3	28.54	1489865	2359056	C++	EricSMSO	
3	28.4	2522090	2348045	C++	MSmits	
3	27.96	2718975	2351576	C	mykeich	
3	24.33	1109979	3864823	C++	Gloopy	
3	20.86	1378958	3525124	C#	Illedan	
3	16.42	966447	2898727	Python3	Gagat	
3	-2.92	3076371	2355440	C++	Krakota	
2	35.42	1206537	2349784	C++	MadKnight	
2	32.15	1756952	2354542	C#	Petras	
2	32.1	1194069	2345602	Java	Redstrike	
2	28.64	950512	2351860	C++	salim.aboubacar	
2	26.93	1854246	2345729	C++	Counterbalance	
2	25.89	1680988	2345012	Java	.[-_-].	
2	25.53	735910	2337341	C++	Agade	
2	24.45	3165536	2346999	C#	barbora	
2	22.89	2968035	3381390	C++	DomiKo	
2	21.22	424510	2345473	Kotlin	csj	
2	20.7	2924895	2632939	C	trictrac	
2	20.06	1869024	2344911	Java	Xa2017	
2	18.96	3269275	2341834	C#	Ille-Stream	
2	18.06	862919	3055951	C++	Astrobytes	
2	17.09	1855741	2399017	Java	MrKIP	
2	14.92	828239	2355575	C#	[SG]Bisou	
2	14.82	1457162	2585303	C++	JFB	
2	13.51	2786666	2356675	C++	TetraktysPhi	
2	12.26	2043908	3481516	C++	AntiSquid	
2	10.67	1415495	2355091	C	fenrir	
2	3.21	3362602	2421263	C++	nulte	
2	1.18	3457489	2474069	C++	LPV	
2	-7.18	1078928	2970441	Python3	cnn	
1	25.89	3235897	3693886	Java	Zylo	
1	25.05	4093632	3360236	Python3	hawk404	
1	24.9	4103793	3359568	Python3	Pierre99	
1	24.43	338469	2345150	Rust	__mcts__	
1	24.27	4094230	3360250	Python3	s9978	
1	24.05	1480384	2417024	C++	RockyMullet	
1	23.25	2923506	2479453	C++	darkhorse64	
1	22.96	1691194	2353264	Python3	fernsham	
1	22.9	4111056	3359774	Python3	afterglow	
1	21.94	2416641	2836416	C++	Zenoscave	
1	21.08	3721214	3356649	C++	jrke	
1	21.05	4112196	3360069	Python3	rafapablos	
1	20.52	788361	2346193	C++	Bob	
1	20.09	4096100	3357895	Java	doublerUc3m	
1	20.05	3119894	2351393	C++	joleNeuNeu	
1	20.02	1178401	3142659	Python3	mizzHuarta	
1	19.71	4110651	3358746	Java	Bodolaru	
1	19.3	4110129	3358579	Java	ManuelOrtizEstivalis	
1	19.24	4090602	3353521	Python3	aarongmduran	
1	18.58	232528	2984900	C++	cegprakash	
1	17.93	1740037	2344399	Scala	ereiam	
1	17.83	2474883	2345293	Python3	lakeoverflow	
1	17.8	2288263	3684824	Rust	dbdr	
1	17.68	4101689	3377036	Python3	Edu260514	
1	17.67	331880	3861414	Kotlin	Monstruo	
1	17.59	4107517	3355477	Python3	shiba31	
1	17.47	2728732	2340875	Kotlin	Kroppeb	
1	17.41	1713174	2354661	Python3	BigUP	
1	17.41	1518504	2348099	Kotlin	bohuss	
1	17.38	371603	2675568	Ruby	martin	
1	17.25	1082988	2336081	Python3	Saelyos	
1	17.2	1029602	2351242	C	Potemkine	
1	17.03	1253664	2355739	Python3	Arinelle	
1	16.88	314562	2347247	Javascript	Mechar	
1	16.66	1629402	2346424	Haskell	asvyazin	
1	16.61	1394530	2482752	Rust	Idleless	
1	16.53	4073052	3359649	Python3	slrn	
1	16.42	1362700	3099715	Javascript	TomasFerreira	
1	16.36	884874	2347798	Ruby	Zauberer	
1	16.31	3749793	3035862	Python3	WINWINWIN	
1	16.25	1871471	2344560	Python3	Trit0r	
1	16.23	4101612	3351212	Python3	Andres11697	
1	16.18	3622757	3004211	Python3	anid	
1	15.84	4111145	3358904	Java	sylnyma	
1	15.82	4110957	3358689	Python3	copaistein	
1	15.79	1572888	2340009	Python3	DirtyHarry	
1	15.74	3851280	3347363	Python3	Ic3	
1	15.73	4109622	3358949	Java	Movi	
1	15.57	1673512	3128982	C++	Ryoken	
1	15.08	4110958	3358841	Python3	soyconchaentro	
1	15.05	878168	2354807	Python3	Czaporka	
1	15.03	1351763	2604345	Ruby	gatto	
1	14.96	4110962	3358714	Python3	elPedazo	
1	14.94	155774	2834610	PHP	dwarfie	
1	14.93	4101192	3368498	Java	IvAn9K	
1	14.78	1441239	3334201	Kotlin	Dyd	
1	14.75	1243876	3447559	Java	Hi-Low_World	
1	14.74	1412263	2344749	PHP	PatrickMcGinnisII	
1	14.58	2792232	2345680	Python3	Monoterpene	
1	14.39	4094625	3339617	Python3	alejanpa17	
1	14.31	3922731	3626337	Dart	Dartisan	
1	14.27	2290633	3835457	Python3	field3	
1	14.21	4104187	3351598	Python3	Santivi	
1	14.15	797590	2344979	Python	HypnagogicJerk	
1	14.09	734401	2834615	C++	b0n5a1	
1	14.08	4110840	3358859	Java	Xantras	
1	14.02	2496805	2341440	C#	Cyrela	
1	14.01	1783604	2336113	C	Vry	
1	13.99	754792	2354297	C++	Ramdeath	
1	13.87	1108200	2355786	C++	MarkWyz	
1	13.82	973040	2703202	C	papyjo	
1	13.82	2346031	2345713	C#	Fr1z2r	
1	13.78	4134943	3849180	Python3	vinc-r	
1	13.55	316274	2345437	Python3	grivin	
1	13.5	1404934	2347120	Rust	tarriel	
1	13.49	4111309	3359174	Python3	Pedro_uc3m	
1	13.39	3691491	2792147	Javascript	icecream17	
1	13.32	2497890	2341278	C#	BlackBird	
1	13.3	311035	3391399	Python3	leojean890	
1	13.18	1589811	2354056	Java	imrel	
1	13.04	1272263	2345212	Python3	Caled	
1	12.96	321003	2346517	Python3	mixam85	
1	12.93	1515891	2502600	Kotlin	ndc	
1	12.81	4059753	3353161	Python3	1ez	
1	12.51	1895212	2345247	Python3	Maxlaxs	
1	12.48	826655	2631949	Java	[lazy]Opera	
1	12.46	4089252	3408958	Python3	Miki09	
1	12.42	2853682	2631940	Java	jackson923	
1	12.14	1672962	2351025	Python3	Frenzy	
1	12.09	854952	2341299	Java	dolmen1234	
1	12.01	1838289	2340099	C++	Dagal	
1	11.92	888898	2688158	C++	helgui	
1	11.92	4048841	3326356	Python3	Peached	
1	11.83	1829569	2468529	Python3	[0___0]	
1	11.83	1491995	2339263	C#	Tyir	
1	11.81	2023368	2355099	C++	Chk	
1	11.8	2069141	3347126	C#	tomeko	
1	11.75	4189794	3682805	Python3	M1S0	
1	11.64	1361840	2476670	Kotlin	KamilRajtar	
1	11.63	1584802	2336431	Python3	emh	
1	11.6	814685	2348554	Javascript	AthosPyte	
1	11.36	905122	2490418	Python3	nILS	
1	11.23	2913299	2351199	C#	Eric_Neu	
1	11.1	3082494	2355435	Python3	alarih	
1	10.98	3386139	2496864	Python3	MaliciouslyCrypticUsername	
1	10.85	1269816	3349100	Java	cguzman	
1	10.73	1063491	2487996	Python3	bug_sniper	
1	10.72	4047014	3170164	Python3	TolstY	
1	10.64	1616900	2349868	Python3	Spy7	
1	10.62	3075864	3348963	Java	Irfaan	
1	10.43	889789	2631937	C	Alain-Delpuch	
1	10.42	4064173	3355739	C#	Alurian	
1	10.34	1753077	2336043	C++	codingWhale	
1	10.24	2839534	2354044	C	sbedene	
1	10.13	1876212	3716974	Python3	PFischbeck	
1	10.07	828213	3349122	Go	anst	
1	9.94	4089671	3348960	Java	jblanc	
1	9.94	886483	3716972	ObjectiveC	R4N4R4M4	
1	9.82	1114834	2336927	Python	k4ng0u	
1	9.7	1754295	3355449	C++	SF	
1	9.59	1418821	3339611	C++	input.txt	
1	9.42	792813	2336912	Python3	VilBoub	
1	9.32	1939843	2354697	Python3	Aging_Nerd	
1	9.3	3141948	3382625	Python3	philRG	
1	9.23	1861258	2337250	Go	Nazdhun	
1	9.23	3187634	3351239	Python3	Stigma	
1	9.19	3522147	3003004	Javascript	Gotham	
1	9.05	568476	3348954	Java	Dje54	
1	9.02	1835014	3358536	C	Frits	
1	8.91	1812801	2354054	Python3	Chauca	
1	8.83	3136376	3355443	Python3	O_A_K	
1	8.69	1019835	2351728	Python	ncflipp	
1	8.69	2573097	3358677	C#	tomas2342	
1	8.13	1292086	3353138	Java	OlegUshakov	
1	7.65	214694	3349151	Python	Pac	
1	7.12	1179357	2349281	Javascript	avdg	
1	6.95	2572485	2346004	Ruby	DGynn	
1	6.82	2765820	2336911	C++	reCurs3	
1	6.59	1458157	2346609	C	chocolatecharlie	
1	3.9	1889651	2353743	Python3	Aether_Luminifer	
1	1.14	1734105	2352987	C++	Bibou	
0	20.19	4387160	3762927	C++	JoHyCeVa125	
0	19.07	4206218	3838622	C#	Jerrasterix	
0	18.87	4090064	3333553	Java	juampamm	
0	18.41	1830625	2345067	C++	-Rutger-	
0	18.37	3577808	3718926	Python3	isak13	
0	17.96	1288527	2445867	C++	Snef	
0	17.86	3513265	2623683	C++	DaNinja	
0	17.16	811622	2338336	Python3	Scarfield	
0	17.13	2221374	2492106	Java	philouche	
0	17.03	1335590	2353994	C++	sztmbr	
0	16.51	1792707	2345714	C++	Rumata	
0	16.49	3339651	2354281	Rust	Phileas	
0	16.49	3536382	2674979	Python3	FranckR34	
0	16.41	4365798	3711737	C++	Grumpy_Pig_Skin	
0	16.23	1528274	3001064	Ruby	BlanCap	
0	16.16	2830786	2347333	Python3	Kan-Artem	
0	16.11	4082867	3525336	Python3	Tiger-The-Cat	
0	16.05	3979432	3460138	TypeScript	IrwingTestone	
