League	Score	UserID	AgentID	Lang	Pseudo	#multi,count=47,time=2022-09-06 00:30:09
0	41.5	2311105	4278540	C++	kovi	
0	40.16	1635357	4256656	Python3	GiB	
0	38.35	311035	4279732	Python3	leojean890	
0	38.15	4867662	4312857	Python3	bsg	
0	38.11	4886486	4424680	Python3	jinwook	
0	36.93	4208158	4271472	Python3	Tiouz	
0	36.26	2290633	4347404	Python3	field3	
0	36.12	2786666	4308351	C++	TetraktysPhi	
0	36.06	1332152	4266188	Python3	MarwanAjl	
0	34.91	4865817	4270154	Python3	big_rooster_energy	
0	34.65	1288527	4268639	C++	Snef	
0	34.41	2924895	4282615	C	trictrac	
0	34.24	2288263	4256706	Rust	dbdr	
0	33.85	2104313	4256819	Python3	TomPouce	
0	33.29	3647844	4266095	Python3	rc95401	
0	29.42	2007852	4257311	Lua	Zorg1	
0	28.75	5016048	4414317	C++	fozga43	
0	28.7	2260815	4319891	Go	Haardvuur	
0	27.87	1116521	4412733	C#	Pfm_Vond	
0	27.46	4626700	4256602	PHP	JohnyDarecek	
0	27.43	4288193	4270428	Javascript	MniDK09	
0	27.35	1720553	4297623	C#	MetalHurlant	
0	26.13	1479930	4256574	C++	LeRenard	
0	26.09	1492668	4249626	Java	MatthieuC	
0	25.42	4136008	4372346	Python3	jerry_laevis	
0	24.47	1235239	4371847	TypeScript	Dhorv	
0	24.39	1653268	4423877	TypeScript	Ewald_The_Bug_Factory	
0	23.8	4447108	4292923	C++	MonkeyFeathers	
0	22.48	4911323	4296116	Ruby	SpaceSomething	
0	22.37	3824067	4405851	C++	thoip2	
0	22.31	2842277	4322407	C	arvinceaud	
0	21.97	2069141	4270662	C#	tomeko	
0	20.73	4124472	4317391	Java	Valdez001	
0	18.45	2607215	4265284	Python3	sideston	
0	18.34	1713174	4249677	Python3	BigUP	
0	18.2	4073854	4257805	C++	Buk.	
0	18.18	3136787	4256636	C#	jacek	
0	18.09	3354337	4249644	C++	Westicles	
0	17.82	2325449	4420015	Perl	otpv	
0	17.67	4277867	4404701	D	About	
0	17.58	4883414	4439796	Java	doogymaniac	
0	17.51	4794559	4390345	Python3	BS_the_BeSt	
0	17.03	4688637	4256632	Python3	DragoonHS	
0	14.88	1412263	4257580	PHP	PatrickMcGinnisII	
0	14.7	4678328	4310937	C	aball42	
0	14.66	4941475	4402636	Python3	Free_fire_god	
0	14.66	4934418	4325814	Go	WagnerBMA	
