League	Score	UserID	AgentID	Lang	Pseudo	#multi,count=3520,time=2019-11-24 00:30:08
5	35.89	1629259	2238218	C++	Marchete	
5	33.63	494104	960105	C++	Recar	
5	32.07	818534	960075	C++	Ixanezis	
5	31.97	739151	960061	C++	Romka	
5	30.94	300142	960047	C++	oyefremov	
5	30.57	668954	960025	C++	Fluxor	
5	30.06	841085	960051	C#	Risen	
5	29.97	826372	960053	C++	skyyker	
5	29.88	593523	960073	C++	supermassive	
5	29.83	435097	960034	Java	IMost	
5	29.68	837350	960072	Java	BorisZ	
5	29.51	529276	960049	Java	whiteChess	
5	29.46	805067	960909	C++	Magus	
5	29.07	829114	960067	C++	tek1031	
5	29.07	836783	960091	Java	neildo	
5	28.68	3243532	2411274	Java	teccles	
5	28.59	830819	960048	Java	johnnyhibiki	
5	28.18	1034635	1663329	C++	SlyB	
5	28.16	364493	960079	Javascript	RAdam	
5	27.87	610934	960095	C#	y_kawano	
5	27.84	232528	969823	C++	cegprakash	
5	27.57	704737	960090	Java	Azelo	
5	27.55	826937	960043	C++	Asgard	
5	27.54	886483	960018	C	R4N4R4M4	
5	27.49	832306	960065	C++	pb4	
5	27.49	403748	960087	C++	[CG]SaiksyApo	
5	27.43	2043908	1874162	C++	AntiSquid	
5	27.42	780240	960014	C#	Manners	
5	27.3	351062	960052	Java	Neumann	
5	27.14	154984	960062	C++	_Royale	
5	27.07	704875	960036	C#	XaY	
5	27.07	829007	1849707	Javascript		
5	27	507383	960024	C#	Vadasz	
5	26.99	810731	960019	C++	Pallus	
5	26.86	162669	960108	Python	Gangrene	
5	26.49	529230	960023	Java	MostafaAyman	
5	26.33	715319	960097	C#	poksh	
5	26.27	1400179	1307799	C++	reCurse	
5	26.26	779372	960096	C++	ncin	
5	25.93	181387	960017	Python	pbav	
5	25.91	935802	960056	C++	Jerhyn	
5	25.74	600941	960101	C++	mrv	
5	25.73	802171	960016	PHP	Merome	
5	25.61	311954	960030	C	Kush	
5	25.59	1050159	1628015	C	speedloop	
5	25.54	820627	960063	Java	Allen57	
5	25.44	1167048	1942002	Javascript	EdEnsor	
5	25.31	1489865	971910	C	EricSMSO	
5	25.23	1479930	1219637	C++	LeRenard	
5	25.2	837436	960104	C++	aropan	
5	25.15	580424	967730	C++	siman	
5	25.15	233734	960071	C++	Delgan	
5	25.14	156188	960011	PHP	DorianWilde	
5	25.13	1071140	960085	C#	BeberLeNewbie	
5	25.12	233627	1305124	Javascript	SlipOne	
5	25.1	218189	960106	C	[CG]Maxime	
5	25.04	828368	960083	C++	sekiye	
5	25.04	1258533	960066	Python3	MathJason	
5	25.02	1378958	972739	C#	Illedan	
5	25	920987	960088	Java	redna70	
5	24.77	335818	960068	Java	TyraEl	
5	24.73	1607522	969984	Go	RoboStac	
5	24.55	1684486	1925297	C++	Whopper	
5	24.32	2906497	2493162	C++	daaskare	
5	24.26	1175343	960032	C++	Hankerspace	
5	24.18	854952	1867353	Java	dolmen1234	
5	24.13	1447873	960064	Java	Hohol	
5	23.87	1201796	960041	C++	P.Greze	
5	23.87	810201	960039	Java	xathis	
5	23.8	598532	960015	Java	grmel	
5	23.79	830584	960033	C++	maroon_kuri	
5	23.6	803224	960040	C++	NotABug	
5	23.57	371603	1578873	C++	martin	
5	23.51	1673971	1504789	C++	Lanken	
5	23.48	1457162	2082366	C++	JFB	
5	23.45	826008	960044	C++	Savlik5	
5	23.43	335954	1407448	Java	nmahoude	
5	23.39	944322	960009	Java	Senthil	
5	23.32	417490	975201	Java	Alevohin	
5	23.29	825460	960057	Go	antoyo	
5	23.2	154408	960078	Ruby	Pollo_loco	
5	23.19	893541	2479294	Java	wala	
5	23.19	230756	960060	Java	MickaelV	
5	23.15	1500515	1664791	C#	eulerscheZahl	
5	23	155896	1103458	PHP	gamoul	
5	22.97	1029251	2090593	C++	Simon5	
5	22.92	1169499	2406487	C++	naab	
5	22.89	155881	2452533	PHP	Hevey	
5	22.86	153030	960038	C++	joH	
5	22.84	811563	960046	Python3	Khenra	
5	22.79	433062	960031	Java	hoshi524	
5	22.79	735910	961514	C++	Agade	
5	22.78	155924	964758	Java	yvesmocq	
5	22.72	155928	2307198	C	pk	
5	22.69	568476	960058	Java	Dje54	
5	22.68	2924895	2476279	C	trictrac	
5	22.65	1314796	1299443	C++	JBence	
5	22.65	153017	960084	C++	Jiboo	
5	22.65	527749	960050	C++	Pds	
5	22.64	490905	960107	Python	lechium06_	
5	22.62	799904	2090385	C++	iwashi31	
5	22.61	622773	960077	C++	eldidou	
5	22.6	2863053	2495654	Javascript	LuisMaGlz	
5	22.52	619211	960092	Java	Thrain	
5	22.49	360857	960086	C#	Tibler	
5	22.44	780361	960074	C++	BrutalCommiterInSpace	
5	22.41	463873	960082	C++	tanakat01	
5	22.39	173910	960021	Javascript	maxceem	
5	22.39	1114698	2129557	C++	xiaohouzi	
5	22.36	718159	960089	Java	dimkadimon	
5	22.32	193315	960076	Dart	hau	
5	22.3	789003	960070	Javascript	Sharcoux	
5	22.3	829204	2081724	Python3	seekjim20	
5	22.2	373834	960080	Java	Pirquessa	
5	22.19	1734105	2258538	Python3	Bibou	
5	22.15	226528	1087910	Java	Manwe	
5	22.11	153057	1089827	PHP	PierralF	
5	21.99	1115053	1089831	C++	xlREDlx	
5	21.81	912633	1407151	C#	Poviliukas	
5	21.73	581921	2317125	Python	GuyBol	
5	21.62	2378983	2129540	C++	jonip	
5	21.56	2379116	1619644	C++		
5	21.48	2114947	2409495	C++	Nixerrr	
5	21.47	2297753	2324629	Python3	Warly7692	
5	21.4	717098	960100	C	lesups	
5	21.32	248263	960020	PHP	NewboO	
5	21.1	884492	1089829	C++	crem	
5	21	739475	2307196	Pascal	HeliX666	
5	20.96	545951	960012	C++	AntonT	
5	20.92	799947	1089826	C++	haraduka	
5	20.89	806622	2495428	C#	caddy	
5	20.69	812241	960029	C++	aquaz	
5	20.69	751377	960028	C++	fhlasek	
5	20.62	540373	2406490	ObjectiveC	Invisible	
5	20.6	1759839	2307605	Python3	matleg	
5	20.59	826419	968302	C++	gunterrr	
5	20.46	414278	1089828	Java	oobException	
5	20.45	856695	968303	Java	colegu	
5	20.37	776401	960042	C#	mshogren	
5	20.33	598106	967729	Perl	Dosfinmar	
5	20.3	1114834	2406483	Python3	k4ng0u	
5	20.26	3213465	2258539	Python3	Gegene	
5	20.24	154806	960069	Python	piw4i	
5	20.23	154967	2081726	Python	trnsnt	
5	20.19	826277	2408498	C++	Prayer	
5	20.19	819193	2307591	Python3	ickedude	
5	20.15	926124	1268004	Java	Beerus	
5	20.14	832804	2406488	Python3	pohmelie	
5	20.14	808213	1129118	Java	ManiK	
5	20.14	197601	960037	Python	LetMeUseYourKeyboard	
5	20.12	157377	2476277	PHP	McKelian	
5	20.12	829593	960027	Java	daqiu	
5	20.11	801460	2315623	Python	nep7un	
5	20.11	1950625	1407150	Java	DaisyBell	
5	20.1	692317	2315624	Java	Ozzie	
5	20.1	724226	2307197	Python	jlalu	
5	20.1	153698	1207471	Java	obourgain	
5	20.09	797503	2406489	Scala	roman_v1	
5	20.08	464971	1089825	C++	PsyGuy66	
5	20.07	1947212	1213163	Java	hystericaldonkey	
5	20.06	366755	960045	Java	BezrA	
5	20.05	1206537	968863	C++	MadKnight	
5	20.04	1077559	2452534	Java	PhOeNyX	
5	20.03	421958	2315979	Python	muffinmad	
5	20	925695	2452532	OCaml	Boulet	
5	20	802343	2090384	Java	Etheriel	
5	19.98	839073	2406486	Pascal	Faustine	
5	19.97	267634	1139865	C++	Leonarf	
5	19.96	248736	1129415	C++	firsni	
5	19.96	201919	2406485	C++	LouJo	
5	19.95	527651	960059	C++	PnumaSON	
5	19.91	780983	1207472	Python	Yakuma	
5	19.71	3309946	2406482	Java	URUKH-AI	
5	19.67	824935	1125314	Java	Niallith	
5	19.65	1127086	2406481	Python	dpaneda	
5	19.56	856459	2111513	C	SONGJunli	
5	19.56	811004	2406484	C++	tarte7	
5	19.53	155939	2081725	ObjectiveC	xylo	
5	19.25	608132	960081	C	seiji	
5	19.2	837309	1125900	Python3	spur	
5	19.04	507221	1628016	C++	Fander	
5	18.76	828213	1129116	Java	anst	
5	17.91	890125	960645	PHP	PHP_Alban	
5	17.15	196808	960026	Groovy	bonam	
5	15.79	153527	1264790	Java	Amendil	
5	15.12	722344	1207473	C++	caaain	
5	11.32	569907	1129117	C++	k06a	
5	11.28	760921	1129120	VB.NET	Skleroz	
5	11.25	812285	960007	C++	SpeedyConsoles	
5	11.24	820000	960103	C++	ValGrowth	
5	11.24	788361	960054	C++	Bob	
5	11.23	279452	960055	C++	mangoose	
5	11.23	859919	1469400	C++	RealiX	
4	26.8	532706	946401	Javascript	MaximKarpinskiy	
4	25.81	624308	946474	Java	nosnosnos	
4	25.8	747081	1505016	C++	shrum	
4	25.36	1353669	1091510	Python3	XAnimaX	
4	25.23	3306912	2325371	Java	Peter89	
4	25.02	518726	946432	Haskell	nybble41	
4	24.96	1335230	2598005	Java	jft63	
4	24.91	543181	946463	Java	dominisz	
4	24.86	523566	973366	PHP	Zorck	
4	24.78	1124755	1142289	Java	tfcardoso	
4	24.55	806823	946451	C	Zer0	
4	24.54	307727	946385	Python3	seb	
4	24.39	3287790	2325303	Java		
4	24.36	153082	946610	Java	Kain	
4	24.25	527368	946482	Java	Mezenc	
4	24.2	155091	1089920	Java	smeagol	
4	24.13	881469	946642	Javascript	tomzi1	
4	24.11	170294	946395	Go	serhiyb	
4	24.08	1743393	1015650	C++	Yudzhin	
4	23.86	155176	1770929	C++	LEO_000_001	
4	23.81	847299	946438	Java	niak	
4	23.78	1194069	1856628	Java	Redstrike	
4	23.76	620448	946533	C++	AB	
4	23.69	544285	946320	Ruby	Vhaeraun	
4	23.65	1227762	946612	C++	rFlo	
4	23.64	1733593	1089039	Scala	Wei-1	
4	23.64	1526243	946325	C++	ash2620	
4	23.47	1438865	946548	Python3	tdeblock	
4	23.35	1959179	1770648	Java	savitar	
4	23.3	842532	969128	Ruby	spy	
4	23.27	697152	946343	Java	Bander88	
4	23.27	1131020	946590	Java	Toky101	
4	23.24	1420243	2175656	C++	miguelOF	
4	23.22	842309	946316	Python3	sequential	
4	23.2	776091	2323769	Haskell	billflinton	
4	23.17	1303554	946641	C++	Diheuheu	
4	23.16	971715	946449	C++	mbarkizied	
4	23.16	1255517	946521	C++	icekid	
4	23.14	837290	946399	C++	fredoxygene	
4	23.11	2128673	1439640	Python	larrymotter	
4	23.09	153045	946601	Python	nib	
4	23.08	1657606	946492	C++		
4	23.08	1366687	946341	C++	SudoGroot	
4	23.04	536072	946545	Java	IKarl	
4	23	165690	946563	C	Yorwan	
4	22.94	331880	1645252	Scala	Monstruo	
4	22.93	1369177	946339	C++	PernicN	
4	22.92	1735801	946322	C++	blvck21	
4	22.9	1624567	946323	C++	DTA	
4	22.9	406188	946436	Python3	parallel	
4	22.86	1719856	1641634	PHP	YOANN	
4	22.83	843358	946326	C	Ersatz	
4	22.81	1289001	946634	C++		
4	22.76	1639488	946422	C++	jamsven	
4	22.76	1924802	1122255	C++	likeCoder123	
4	22.75	1479471	2106175	C++	joel_tony_c	
4	22.73	1307473	946394	C++	Evgenykz	
4	22.71	877857	946388	C++	Dukie	
4	22.71	1379488	1801006	C++	DotCode	
4	22.7	194314	946555	Javascript		
4	22.68	1664044	1218264	C++	BUG	
4	22.66	1834420	1484175	C#	Kastorka	
4	22.63	776033	946397	C#	Romus	
4	22.63	1978320	1762520	C++	MoonAntonio	
4	22.63	691222	946500	Python	lilezek	
4	22.62	1756952	1631660	C++	Petras	
