League	Score	UserID	AgentID	Lang	Pseudo	#multi,count=3312,time=2020-10-25 02:33:27
6	37.29	1400179	1578179	C++	reCurse	
6	36.13	1629259	2547516	C++	Marchete	
6	34.61	735910	1324204	C++	Agade	
6	34.56	1818159	2428202	C++	JRFerguson	
6	33.68	832306	1324213	C++	pb4	
6	33.35	1983143	1470552	C++	RadekP	
6	33.11	154984	2424607	C++	_Royale	
6	30.14	1082988	1622518	C	Saelyos	
6	30.03	524638	1384551	C++	miklla	
6	30.01	1314316	2080232	C++	jolindien	
6	29.44	1944726	2587027	C++	bourgeof	
6	29.43	351062	1503310	C++	Neumann	
6	29.25	1049935	2420958	C++	Azkellas	
6	28.94	1870937	2359542	C++		
6	28.8	886483	1330546	C	R4N4R4M4	
6	28.76	1824376	1384868	Python	Kodle	
6	28.64	1479930	1596282	C++	LeRenard	
6	28.29	1781409	1331377	C++	schubc	
6	28.28	1335230	2341627	C++	jft63	
6	27.97	335954	1324205	Java	nmahoude	
6	27.93	1488163	1324208	C++	Avestor	
6	27.71	572695	1324456	Go	ewgraf	
6	27.68	1489865	1418672	C++	EricSMSO	
6	27.61	1341520	1324209	C	egaetan	
6	27.31	880353	1325724	C++	zasmu	
6	27.24	1367461	1384286	Java	MickGlover	
6	26.84	893541	2485488	Java	wala	
6	26.38	1741196	2652737	C++	Valdemar	
6	26.35	1500515	1330018	C#	eulerscheZahl	
6	26.33	841085	1384283	C#	Risen	
6	26.24	3622757	3039158	Java	anid	
6	25.87	1889444	1324202	Java	DragoonXen	
6	25.73	1756952	2145342	C++	Petras	
6	25.63	2924895	2337303	C	trictrac	
6	25.43	2043908	2214516	Java	AntiSquid	
6	25.43	1034635	1324201	C++	SlyB	
6	25.37	854952	1325725	Java	dolmen1234	
6	25.35	153784	2337302	C++	Whitec	
6	25.29	736075	1589980	C	Xyze	
6	25.28	1201796	2358826	C#	P.Greze	
6	25.27	1812704	1330464	Java	Trancheuse	
6	25.17	1194069	2136213	Java	Redstrike	
6	25.16	2006324	2076808	Java	SihardeOussama	
6	25.15	1655832	1418596	Groovy	chessmanxblast	
6	25.14	1827247	2326740	C++	mmmd	
6	25.11	1607522	1327601	Go	RoboStac	
6	25.03	1193679	1477970	Python3	Icebox	
6	24.9	1876721	1327432	C++	poInT	
6	24.88	1931039	1327570	C#	MooMooN	
6	24.84	1944090	1494637	C#	spaceorc	
6	24.6	1384701	1657427	Ruby	lllukom	
6	24.54	1673971	1331493	Python3	Lanken	
6	24.48	933352	1384550	C++	femto	
6	24.42	1857831	1397680	C#	pbunny	
6	24.26	1149054	2584826	Java	Jeremee	
6	23.68	1164242	2205296	Java	Andry_	
6	23.63	2529154	2485285	Java		
6	23.49	1314796	2463029	C#	JBence	
6	23.34	1128769	1330463	Rust	Dwakus	
6	23.16	1830625	2463027	C#	-Rutger-	
6	22.45	226528	1324215	Java	Manwe	
6	22.06	1235673	2418258	C++	Lirkin	
6	21.58	3247968	2696210	C++	Dreamkins	
6	21.18	2179805	1486783	Rust	_La_Pulga	
6	21.13	1378958	3062100	C#	Illedan	
6	16.92	1606588	1325753	C++	inoryy	
6	15.63	1675487	1325723	C	PED	
6	14.53	1855741	2704971	Kotlin	MrKIP	
6	12.11	1061242	1384285	C++	Csipcsirip	
6	12.08	1106450	1324207	C++	RiSuS	
6	12.08	1284747	1324458	C++	mr-push	
6	12.08	1273065	1324199	C++	TheRadical	
6	12.07	1378399	1577746	C++	DN38416	
6	12.06	805067	1324210	C++	Magus	
6	12.04	909153	1330462	C++	Coac	
6	12.04	1671658	1347884	C++	Kirbiby	
5	26.09	1162034	1317059	C++	krakeusz	
5	25.96	917370	2980727	C++	Gwi	
5	25.78	1343111	1599487	Javascript	Thal	
5	25.45	2169137	1658783	Python3	SkippyBro	
5	25.27	1759839	3016443	C++	matleg	
5	24.95	1687064	1317006	C++	JBoulic	
5	24.64	1238934	2016683	C++	accorp	
5	24.41	198916	1385916	Java	WhatTrickeryIsThis	
5	23.92	1631432	1513164	C++	freecode	
5	23.78	1480501	1316998	C++	DaFish	
5	23.74	3749793	3003497	Python3	WINWINWIN	
5	23.44	1491995	1325787	C#	Tyir	
5	23.3	2220118	1496460	C#	pry	
5	23.1	648751	1317027	Haskell	dabino	
5	22.72	3492840	3110943	C++	stormKx18	
5	22.57	1549145	1317037	C++	Mealc	
5	22.36	1071140	1390701	C#	BeberLeNewbie	
5	22.23	1306541	1576019	C++	Steuh	
5	22.16	3326844	2615462	Java		
5	21.9	806157	1317302	C++	Aveuh	
5	21.87	371603	1578860	C++	martin	
5	21.84	1787305	1317013	Java	Woodstock48	
5	21.75	2378983	2480761	Java	jonip	
5	21.65	828239	3027014	C#	[SG]Bisou	
5	21.61	1903645	2464612	C++	Zerksud	
5	21.54	1064903	2031766	C++	Ghirtor	
5	21.49	1304841	1848441	Java	NitMpez	
5	21.31	1707060	1317002	Javascript	FreemanLambda	
5	21.26	1930288	1317016	C#	jopa_be	
5	21.21	3590712	2629942	Java		
5	21.18	1168511	1496245	C++	kasuka	
5	21.09	1342745	2668772	C++	Catiminie	
5	21.09	1803865	2336068	Python3	olinox14	
5	20.64	1754295	1317000	Java	SF	
5	20.61	1853956	1319168	PHP	yoannk	
5	20.59	381613	1317026	Java	Hadou_	
5	20.57	1889981	1493781	C#	rekcahd	
5	20.55	1898847	1330390	C	faga	
5	20.43	1077559	1384057	Java	PhOeNyX	
5	20.36	1792429	1577647	Java	Wildum	
5	20.36	1115081	1317062	Haskell	sergeif	
5	20.32	1814258	1496246	C#	AtrA	
5	20.25	2166092	1736989	Java	F4T4L_3RR0R	
5	20.18	901546	1489140	Rust	Vinatorul	
5	20.14	1481544	1496243	C++	ZarthaxX	
5	20.13	1788945	1495955	Python3	FabienDaniel	
5	19.96	1258533	1495956	Python3	MathJason	
5	19.92	1480384	1756198	C++	RockyMullet	
