League	Score	UserID	AgentID	Lang	Pseudo	#multi,count=2916,time=2019-11-17 00:30:14
5	27.36	271873	1511817	C#	lionel_fr	
5	26.99	1629259	2537603	C++	Marchete	
5	26.91	351062	1620029	Java	Neumann	
5	26.72	1378958	2582809	C#	Illedan	
5	26.37	1335230	2327918	C++	jft63	
5	26.01	1100752	1612265	C++	ValNykol	
5	25.64	1716299	1456502	C++	micky924	
5	25.18	226528	1444749	Java	Manwe	
5	25.06	1500515	1490058	C#	eulerscheZahl	
5	24.87	1841051	1838226	Python3	Alpacah	
5	24.83	3101644	2585860	C++	Tocus	
5	24.72	1579838	2465755	Rust	Roolmo	
5	24.44	2055377	1446236	Python3	Covfefe	
5	24.28	805067	1444850	Javascript	Magus	
5	24.18	2416641	2060822	Python	Zenoscave	
5	23.93	1306541	1452395	Python	Steuh	
5	23.9	193315	1444740	Java	hau	
5	23.49	668954	1444730	C++	Fluxor	
5	23.42	154984	1589898	C++	_Royale	
5	22.91	1163138	1479235	Python	Vince85	
5	22.86	2288263	2430390	Rust	dbdr	
5	22.84	1077559	1444754	Python	PhOeNyX	
5	22.8	1538549	1444741	Python3	Nikodimishe	
5	22.79	1043296	1971174	Python	Pesco	
5	22.75	201919	1444725	Python	LouJo	
5	22.73	911777	1444728	Python	MasakiKyosuke	
5	22.72	271431	1444747	Python	Newwin	
5	22.62	2097688	1445329	Python	machinegun	
5	22.62	603277	1444736	PHP	bee	
5	22.47	2128759	1444912	Haskell	Hjulle	
5	22.09	1175343	1444731	C++	Hankerspace	
5	21.98	2584571	1810731	C++	roc_matador	
5	21.83	1078288	1444743	Java	d6r27-h59p	
5	21.82	583845	1444746	C#	dimaj	
5	21.77	1481544	2590812	C++	ZarthaxX	
5	21.72	2043908	2215483	Java	AntiSquid	
5	21.58	1101431	2121197	C#	clese	
5	21.55	1227762	1444722	C++	rFlo	
5	21.45	327986	1444726	C++	Koutaku	
5	21.4	2075168	1444750	C++	PapaEmeritus	
5	21.4	1189812	1444727	C++	kagary06	
5	21.39	893541	2504684	Java	wala	
5	21.37	629939	1444713	Java	Pao	
