League	Score	UserID	AgentID	Lang	Pseudo	#multi,count=55,time=2020-06-13 00:30:03
1	38.6	2522090	2962382	C++	MSmits	
1	37.24	2924895	2841625	C	trictrac	
1	36.87	3193653	3007538	C++	karliso	
1	35.55	2923506	2850795	C++	darkhorse64	
1	35.33	3136787	2993786	C++	jacek	
1	34.53	3569066	2987543	C++	derjack	
1	29.59	1194069	2688829	C++	Redstrike	
1	28.55	1479930	2835628	C++	LeRenard	
1	27.15	1489865	2660988	C++	EricSMSO	
1	22.74	1378958	2616918	C#	Illedan	
1	22.05	2604804	2810727	C++	Pedro1994	
1	22.05	2674460	2698346	Python3	Malte42	
1	22.03	1500515	2830920	C#	eulerscheZahl	
1	19.71	1490383	2674479	C++	arkwaw	
1	19.55	1854246	2619214	C++	Counterbalance	
1	19.48	2290633	2618160	Python3	field3	
1	19.13	1314316	2849162	C++	jolindien	
1	18.69	3101644	2677863	Python3	HerrHagner	
1	18.54	3564009	2679808	Lua	Waffle3z	
1	17.67	311035	2691428	Python3	leojean890	
1	17.22	2416641	2615532	Python3	Zenoscave	
1	16.69	3736275	3011740	Python3	K4Mx	
1	14.98	1876212	2621955	C++	PFischbeck	
1	14.86	1629259	2614022	Java	Marchete	
1	14.51	973040	2622575	C	papyjo	
1	13.31	1029602	2621309	C	Potemkine	
1	13.18	424510	2615131	Kotlin	csj	
1	12.43	1834920	2684754	TypeScript	FreeHandz	
1	12.38	1679978	2620534	C	joel76	
1	12.18	1740037	2677634	Scala	ereiam	
1	11.96	314562	2625410	C++	Mechar	
1	11.94	2203054	2652371	C#	Tillman575	
1	9.74	2043908	2850273	Java	AntiSquid	
1	8.9	371603	2620101	C#	martin	
1	8.82	3622757	3001523	Java	anid	
1	8.11	1464932	2628543	Java	Tiramon	
1	5.82	1861258	2615922	Go	Nazdhun	
1	2.74	3482949	2637790	Java	Masshood	
1	-7.25	3516093	2677760	Java	Balthael	
0	16.95	2976964	2623022	Python3	BenjaminUrquhart	
0	16.67	3513265	2614916	Javascript	DaNinja	
0	14.45	1066745	2614675	Java	DepartmentOfRedundancy	
0	14.11	1412263	2655132	PHP	PatrickMcGinnisII	
0	14.01	888898	2668561	C++	helgui	
0	13.99	1713174	2616741	Python3	BigUP	
0	13.86	862919	2693756	C++	Astrobytes	
0	10.97	154840	2804374	Rust	Tomu	
0	9.33	3156706	2999464	Java	ktotam	
0	7.58	304126	2828275	PHP	kami	
0	-0.53	2069141	2672939	C#	tomeko	
0	-1.42	3514058	2616034	Java	lotto007	
0	-2.61	999637	2636744	Python3	dinobogan	
0	-2.99	1341520	2637663	Java	egaetan	
0	-3.33	523846	2828245	C#	Palmipedus	
0	-3.64	1854639	2995986	C#	iDxMeG	
