League	Score	UserID	AgentID	Lang	Pseudo	#multi,count=2842,time=2022-10-22 00:30:10
4	35.18	3193653	2708375	C++	karliso	
4	32.67	3502867	2707285	C++	The_Duck	
4	32.01	2970414	2709863	Python3	Fangel	
4	31.5	2577687	2707833	C++	blasterpoard	
4	31.04	1998194	2708775	C++	nus_miz	
4	30.7	3243532	2753254	Java	teccles	
4	29.73	1607522	2708730	C++	RoboStac	
4	29.59	1034635	2707978	C++	SlyB	
4	29.52	523185	3090847	Java	Hjax	
4	29.42	3513922	2708789	C++	Skril	
4	29.31	3436443	2708339	Python3	Mazelcop	
4	28.98	3188551	3525831	Javascript	ashelkov	
4	28.45	416762	2709077	Ruby	Khao	
4	27.99	1500515	2708639	C#	eulerscheZahl	
4	27.95	939375	2707681	Python3	Indrill	
4	27.85	2500089	2708176	C++	Fantomat75	
4	27.55	1450989	2707820	Java	CowZow	
4	27.5	664112	2709152	Python3	AllYourTrees	
4	27.48	1743344	2708611	Javascript	ush189	
4	27.32	3315995	2708405	Python3	Gonny	
4	27.31	668954	2707239	C++	Fluxor	
4	27.07	580424	2709108	C++	siman	
4	27.06	1418914	2709138	C++	ATS	
4	26.85	524638	2708753	C++	miklla	
4	26.81	351062	2707955	C++	Neumann	
4	26.78	2802157	2708293	Python3	HKit	
4	26.75	507383	2708992	C#	Vadasz	
4	26.67	1114834	2835207	TypeScript	k4ng0u	
4	26.55	1307473	2709014	C++	Evgenykz	
4	26.35	3782701	2840913	C++	Mickah	
4	26.21	154388	3785012	Rust	PonyPonyCodeCode	
4	26.08	1480501	2707610	C++	DaFish	
4	26.04	2288263	2707785	Rust	dbdr	
4	26.01	820000	2826546	C++	ValGrowth	
4	25.91	893541	4312322	Java	wala	
4	25.66	1341520	2708773	C	egaetan	
4	25.66	1477622	2844251	C#	zrdon	
4	25.57	1457223	2708598	C++	jleconte	
4	25.46	1756952	2708560	Java	Petras	
4	25.43	1082988	2707611	C++	Saelyos	
4	25.41	1480426	3537930	C++	Hikari42	
4	25.26	1537951	4072635	Java	Nerchio	
4	25.05	815488	4299929	Java	Seti	
4	24.85	1685743	2843575	Python3	MechJeb	
4	24.82	154984	2708783	C++	_Royale	
4	24.79	906355	2708644	Java	iam1	
4	24.57	1704708	2709110	Python3	valcodi	
4	24.56	739151	2707747	C++	Romka	
4	24.23	3356533	3734301	Java	gdbmanu2	
4	24.13	567404	2708780	C++	sash	
4	24.11	335954	2709127	Java	nmahoude	
4	24.08	1751467	2709097	Python3	Une_Vachette_du_31	
4	23.83	3076654	2843582	Python3	bonebone	
4	23.75	1335230	2708570	C++	jft63	
4	23.38	2906497	2709183	C++	daaskare	
4	23.31	1566335	2709023	Java	BeardedWhale	
4	23.21	1481544	2709171	C++	ZarthaxX	
4	23.18	1106450	2708728	C++	RiSuS	
4	23.07	1869024	2707648	Java	Xa2017	
4	23.07	833077	3728701	Java	tsukammo	
4	23.06	2478316	2708242	C++	takeo1116	
4	23.06	1076740	2708336	Python3	Nazo	
4	23.04	2590081	2709129	C++	Eris_C	
4	22.91	792813	2711300	Python3	VilBoub	
4	22.87	3435179	2708698	Python3	Valphyr	
4	22.48	3424888	2707480	C++	Hamibar	
4	22.44	3471804	2708703	Java	S.L	
4	22.43	443750	2709139	C++	mlomb	
4	22.36	944322	2707468	Java	SenthilkumarAnnadurai	
4	21.91	1337609	2708747	Python3	FlyingRaccoon	
4	21.83	3918583	4385176	Rust	mikmak	
4	21.78	854952	2708793	C++	dolmen1234	
4	21.69	937221	3772604	Java	vrampal	
4	21.39	3411499	2845789	Go	gymnasty	
4	21.34	1649376	2708671	Javascript	Kujar	
4	21.23	1186250	4082014	C#	Gabbek	
4	21.12	1167615	2709010	C#	TylerDurden	
4	20.97	1406638	2840931	Java	TwoSteps	
4	20.76	3657937	3735746	Python3	elderlybeginner	
4	20.74	860404	3998667	C++	Vitruvius	
4	20.57	1920644	2708906	C++	Skygge	
4	20.56	3390297	2996728	Javascript	useAllTheThings	
4	20.55	3123981	2708677	Pascal	AAAAnt	
4	20.51	2931102	2708313	C#	navot	
4	20.43	4117944	3734300	Perl	BenjaminBrumaire	
4	20.42	1549145	2707882	C++	Mealc	
4	20.37	2826402	2707673	Java	LPAlex	
4	20.36	3502478	2708154	Python3	tachan	
4	20.26	1144135	2708916	Go	Kh4z	
4	20.24	2077978	2709166	Python3	MichelLaviron	
4	20	1127783	2707364	Python3	zouzou	
4	19.95	3353481	2708680	C++	takumi152	
4	19.94	3902927	3857619	Python3	Bulgot	
4	19.9	3490454	2707634	C++	PAug	
4	19.89	3421399	2708656	C#	Athight	
4	19.78	2479105	2708406	C++	SHOMU	
4	19.72	3226448	3734297	Python3	tobk	
4	19.71	3630308	2997440	Python3	Ragest	
4	19.66	1049935	2708681	C++	Azkellas	
4	19.58	2837454	2842303	Java	Inc_	
4	19.55	2661261	2994101	Java	nadare	
4	19.52	610934	2707318	C++	y_kawano	
4	19.49	1824376	2707549	Python3	Kodle	
4	19.48	1038824	2707242	Python3	Yoda51	
4	19.42	1489865	3734302	Python3	EricSMSO	
4	19.4	2592367	2709038	C#	Jokero	
4	19.4	4743931	4059561	Python3	Djak47	
4	19.09	153117	2997392	C++	chessnico	
