Comp.	Score	UserID	Lang	Pseudo	#optim,count=297,time=2022-10-02 01:03:25
100	201382	2288263	Rust	dbdr	
100	201382	4277867	D	About	
100	201382	2077805	C++	bamilan	
100	201382	3647844	C++	rc95401	
100	201382	3489223	Javascript	KarloHubai	
100	201384	4149818	Python3	ET_BB-8	
100	201386	2924895	C	trictrac	
100	201388	3354337	C++	Westicles	
100	201389	3721214	Python3	jrke	
100	201404	893541	Java	wala	
100	201472	4208158	Python3	Tiouz	
100	201757	3770880	Java	Yu_212	
100	202080	1344487	C++	UnnamedCodinGamer	
100	202103	3918583	Rust	mikmak	
100	202139	2786666	C++	TetraktysPhi	
100	202184	2311105	C++	kovi	
100	202884	2968035	Python3	DomiKo	
100	203031	1436776	C++	BrainSolver	
100	203193	837436	C++	aropan	
100	203658	436451	Rust	piri	
100	204027	3902927	Python3	Bulgot	
100	204071	1399382	C++	Regulus136	
100	204213	4870604	Go	willbeason	
100	204409	1431608	Rust	MitI_7	
100	204489	3368067	Java	jgall	
100	205031	2923506	C++	darkhorse64	
100	205201	799904	C++	iwashi31	
100	205269	4341304	C++	Remi.	
100	205449	2451652	Java	code_of_the_dead	
100	205481	4717726	C++	[Nexure]	
100	205986	580424	C++	siman	
100	206247	3535836	Python3	Thanh2022	
100	206555	155774	C++	dwarfie	
100	207158	3335896	C++	_martynas	
100	207167	2007852	Lua	Zorg1	
100	207602	3478673	Javascript	never-again	
100	207940	992329	C++	BeeGee	
100	208303	792813	Python3	VilBoub	
100	209198	2962968	C#	Pukunya	
100	209210	1489865	C++	EricSMSO	
100	209280	4257906	Rust	NotSureWhyThisWorks	
100	209635	1152991	C#	xoposhiy	
100	210094	4110073	C++	souta_1326	
100	210261	3184049	Python3	ghhttt	
100	210408	2438514	C++	davi_bart	
100	210551	3983017	PHP	TLbuis	
100	210563	820000	C++	ValGrowth	
100	210862	4083537	Python3	DavidAvsajanishvili	
100	210883	2350415	C++	Vintarel	
100	211310	3844625	C++	surgutti	
100	211481	4754623	C++	kirillkulemin	
100	211604	4726885	C++	Boooooooo	
100	211611	4618693	PHP	cedricdd	
100	211747	2500089	C++	Fantomat75	
100	211749	270881	Python3	Maurice_Moss	
100	211908	1475413	Javascript	AlucardDH	
100	212201	943556	C++	DollarAkshay	
100	212356	3873666	Python3	brthyyjp	
100	212643	2980709	C++	ninnghazad	
100	212644	3839774	Rust	gurvan_lullien	
100	212671	3845610	Python3	pardouin	
100	212857	1566335	Java	BeardedWhale	
100	212895	3903473	Python3	Konstant	
100	213026	935744	C	Alcalyn	
100	213377	1380703	Python3	Blabbage	
100	213461	1861258	Rust	Nazdhun	
100	213842	973040	F#	papyjo	
100	213865	2981630	C++	AstroHydes	
100	214159	512097	Haskell	Stilgart	
100	214276	153965	Python3	[CG]Keelhaul	
100	214489	224325	Go	[BZH]TidyMaze	
100	214729	278212	Python3	vmp	
100	214767	1272951	Rust	don_bovar	
100	214790	3349939	C++	mr.spring	
100	215421	4124688	Python3	Murat_Eroglu	
100	215497	5017747	Python3	cfretter	
100	215800	1430796	C	_PereKastor_	
100	215962	3473248	Python3	Alex_tref	
100	216035	1480426	Python3	Hikari42	
100	216187	862919	C++	Astrobytes	
100	217382	2250473	Javascript	DisaDev	
100	217888	2769748	Python3	jamalou	
100	217926	3771662	Python3	meltice	
100	218086	4949237	C#	FragJage	
100	218692	1630890	Java	Wld	
100	218990	3094191	C	GeraldJB	
100	219228	1131528	C#	Owl	
100	219855	3938395	C++	Quentin18	
100	220943	4562865	Python3	VilBoub_junior	
100	221207	2765000	Javascript	Nowan	
100	221669	3496153	Python3	lndshs	
100	221822	1003777	Rust	DanXX09	
100	221850	3226448	Python3	tobk	
100	222032	3187543	Python3	JustATree	
100	222398	1802967	Python3	Meruem	
100	222784	4047152	Javascript	Willard21	
100	223029	841420	Python3	RandomVariable	
100	223144	4402372	Python3	UltraLcD	
100	223261	3532429	C++	Skyf0l	
100	224415	4194994	Javascript	zLuki	
100	224638	1838549	Rust	orangesnowfox	
100	225332	4378731	Python3	_Pauk_	
100	225413	4627200	Python3	Fwcode	
100	228711	1287344	C++	Alshock	
100	228720	3343665	Rust	Quidome	
100	229528	3490454	Python3	PAug	
100	230165	3802525	C#	Chibikko	
100	230430	4674218	Python3	Kirin04	
100	230452	3996809	Kotlin	VizGhar	
100	231551	1243354	C++	RSBat	
100	231750	2069141	C#	tomeko	
100	232969	4668562	Python3	theaddyct	
100	234148	4134943	Python3	vinc-r	
100	234276	4760013	Python3	KinaKhongs	
100	234565	925695	OCaml	Boulet	
100	234909	3787419	C++	Thyl	
100	235231	1193459	C++	izanbf	
100	235560	3187336	Javascript	C6PO	
100	236274	3724738	C++	BoatBuilder	
100	236323	1140677	C++	Crog	
100	236323	4587710	Scala	Smetalka	
100	236588	2290633	Python3	field3	
100	236748	734401	C++	b0n5a1	
100	236748	4619569	Python3	moustave	
100	236748	981878	Java	nicolasD	
100	236748	2948040	Javascript	Pouyou	
100	236886	4562863	Python3	Benoit-Simunsol	
100	236922	3783962	Python3	Mohsen1365ir	
100	237407	3741491	C++	inverb	
100	238441	4510576	C++	__Malina	
100	238441	4594770	Python3	picoplankton	
100	238477	2833929	Python3	pcourrousse	
100	239302	893259	Python3	pveniat	
100	239897	311035	Python3	leojean890	
100	240083	888898	C++	helgui	
100	240691	4562860	Python3	clxm	
100	240723	3657937	Python3	elderlybeginner	
100	240723	2616395	Javascript	welder	
100	240892	4441094	Python3	Oric1	
100	244644	2202771	Java	Kaplone	
100	244834	4438822	Python3	ludodul	
100	244945	2110342	Javascript	lchenay	
100	245296	4534733	Python3	Damko757	
100	246872	999637	Python3	dinobogan	
100	247220	4717007	Python3	Anktinosia	
100	247258	4718620	Pascal	Hieronymus	
100	247358	2625928	C#	Leonard.	
100	247996	2628455	Python3	PDF	
100	248048	4073854	Python3	Buk.	
100	248147	4888782	PHP	xavier-dubreuil	
100	248320	4136008	Python3	jerry_laevis	
100	248616	3533119	C++	wlesavo	
100	248690	4801044	C++	T19	
100	249335	4023428	Java	HenTeK	
100	249440	837350	Python3	BorisZ	
100	250047	2637659	C#	Barsy	
100	250070	4704154	C++	unsinn	
100	250070	4664816	C++	lexx_it	
100	250215	3826720	C++	Noppo	
100	250215	3439872	Python3	xdcomrade	
100	250215	4585938	Python3	Risodu	
100	250258	4044949	Java	Exanc	
100	250469	3485888	Python3	FelixO	
100	250506	3436807	Python3	Ahmed_Bahri	
100	250555	4685891	Python3	Laki_42	
100	250555	1515834	C++	Wobet	
100	250555	1412263	PHP	PatrickMcGinnisII	
100	250555	2802293	Python3	KarimGehad	
100	250555	4230724	Python3	SefioR13	
100	250555	4673640	Python3	manhin	
100	250555	3420134	Python3	KelvinAndHubbles	
100	250555	4334077	C++	Paul_Demanze	
100	250555	3968448	Python3	Ragul02	
100	250555	3305510	PHP	TBali	
100	250555	3847872	Javascript	[CG]Gaspar	
100	250555	2629686	C#	krutovsky	
100	250555	924425	Javascript	poney	
100	250555	1178401	Python3	mizzHuarta	
100	250555	3708717	Python3	Emiii	
100	250555	508460	C++	Volia	
100	250555	4670966	Python3	Emperxr	
100	250555	4110336	Python3	magicienkennys	
100	250555	3657275	Python3	jujurocking	
100	250555	4716516	Python3	Devin_plombier	
100	250555	1709071	Python3	MAWAAW	
100	250555	4562894	Python3	Polo14974	
100	250555	4110334	Python3	Audran227	
100	250555	4562862	Python3	Scouipou	
100	250555	4106617	Python3	Papouze	
100	250555	1685636	Go	JarylC	
100	250555	3508047	C#	MexBanDoc	
100	250555	4070228	Python3	MarinDeNsi	
100	250555	591238	Rust	AlrianneG	
100	250555	4072753	C++	mdstoy	
100	250555	4592615	Python3	nico87py	
100	250555	2043512	PHP	matijabelec	
100	250555	3123327	Javascript	Cordy	
100	250555	4562861	Python3	vroum	
100	250555	4447108	C++	MonkeyFeathers	
100	250555	4446060	Python3	Prodigity	
100	250555	4124472	Python3	Valdez001	
100	250555	4372857	C++	Sirios	
100	250555	4821969	Python3	grizzur	
100	250555	3750985	Python3	vexilla72	
100	250555	3790676	Python3	piter239	
100	250555	4314190	Dart	Baskman64	
100	250555	154806	Python3	piwai	
100	250555	4259591	Python3	yedi	
100	250555	523846	C#	Palmipedus	
100	250555	4285295	Javascript	Ceereals	
100	250555	3473364	Python3	Alexdelia	
100	250555	4709820	Java	Globostofo	
100	250555	4220057	Python3	EvilRed	
100	250555	380805	TypeScript	Xtendz	
100	250555	1030709	Ruby	Cmdr.Shepard	
100	250555	4199011	Python3	_MarTiaN_	
100	250555	1790785	Java	tokotoko	
100	250555	2532837	Ruby	fauresebast	
100	250555	4391280	Python3	RRRoumy	
100	250555	911974	Lua	Manzazuu	
100	250555	4160659	Javascript	Phi-001	
100	250555	4981075	Python3	Kengeru	
100	250555	4454560	Javascript	ssgilfoyle	
100	250555	1354165	Python3	Raichu2020	
100	250555	3666698	Python3	masterOfPythonCode	
100	250555	3536382	Python3	FranckR34	
100	250555	4213251	C#	FrancisTafe	
100	250555	4819330	Javascript	rocambille	
100	250555	1766900	Python3	zanintony	
100	250555	5103561	Python3	Anonymous331133	
100	250555	3513265	C++	DaNinja	
100	250784	1179357	Rust	avdg	
100	251611	4954542	Python3	DrunkeyCPP	
100	253965	938374	C#	UnmanagedCode	
100	254188	3922731	Dart	Dartisan	
100	257411	4871515	Rust	cl17	
100	258239	992549	Java	Thaddy	
100	268561	4062203	C++	soraie	
100	310436	4245841	C++	ADsun	
100	316387	4537924	C++	ArtesScytale	
100	328546	1132011	C#	pci	
100	344482	1579627	C#	Bahrani	
100	363220	4897675	Python3	Tybos	
100	419282	1883740	C++	kermo	
100	441964	4206982	Ruby	slempel	
100	446137	4081634	Javascript	Wontonimo	
100	452120	1473789	C++	jebouin	
100	462125	1129326	Python3	CeliTop	
100	736037	3376722	Python3	oolivierr	
100	805889	4916990	C++	YeLone-Chen	
100	976283	894599	Java	DidierC	
100	1007690	1522266	Javascript	Sliya	
100	1045150	4768303	Javascript	YaRi78	
100	1050053	3268086	Javascript	Xaetral	
100	1290033	5025755	Javascript	TomBAN	
100	1320187	4756693	Python3	MorningWalk	
100	1320187	4461635	Python3	Tibirius	
100	1320334	2364617	C++	RomainPicot	
100	1320334	425462	Python3	Azt-yur	
100	1326249	4865140	Go	demetedPufferfish	
100	1609568	4815186	Javascript	Nab1ee	
100	1947232	2874091	Python3	5DN1L	
100	1967291	3781953	Python3	ivvv	
100	1974769	5103557	Python3	Belykh	
100	1977532	5103574	Python3	viktor_korneeb	
100	1978526	5103558	Python3	Slabinsky.Artem	
100	1980741	5103539	Python3	MoscalT	
100	2191931	2583545	C#	JasonGreen1	
100	2193922	4122723	Python3	Hydrazer	
100	2199609	2064637	Java	java_coffee_cup	
100	2204090	481988	Kotlin	DevKirill	
100	2209816	5103568	C++	Pushak	
100	2212202	3738308	Javascript	sgbd	
100	2217143	4442007	C++	D3Dou	
100	2219406	4367329	C#	Mr.WhiskeyPerson	
100	2219406	1852668	Python3	gao	
100	2219406	3603097	Javascript	lanathlor	
100	2219406	3074711	Javascript	LeoLet	
100	2219406	3965450	C++	DemmHadis	
100	2219406	1114834	Python3	k4ng0u	
100	2219406	1525831	Python3	ntsd	
100	2219406	4771365	Python3	J56164	
100	2219406	4781104	Python3	personne1248	
100	2219406	3889087	Java	NaturelOUI	
100	2219406	4802305	Python3	GervantFromRovia	
100	2219406	5077862	Python3	KolokolovAlexandr	
100	2223289	3136787	Python3	jacek	
100	2784200	4211056	C#	Nachosauce	
100	3211740	1378958	C#	Illedan	
100	3246732	1500515	Python3	eulerscheZahl	
33.333333333333336	151690	5103569	Python3	VeronikaAccel	
0	-15	4899415	C++	vvgf	
0	-15	4436271	Python3	Ayza	
0	-15	5021607	Python3		
0	-15	2325449	Perl	otpv	
0	0	4759510	Java	Darleanow	
0	0	5103578	Python3		
