Comp.	Score	UserID	Lang	Pseudo	#optim,count=245,time=2021-10-26 00:30:27
100	4654	3949307	Perl	xevixevi	
100	4743	2288263	Rust	dbdr	
100	5613	4208158	Python3	Tiouz	
100	5629	3230794	PHP	tutubalin	
100	5811	1629259	PHP	Marchete	
100	5923	1500515	Python3	eulerscheZahl	
100	6631	3647844	Python3	rc95401	
100	6652	155774	PHP	dwarfie	
100	6917	3906347	PHP	SydM107	
100	8055	2067176	Javascript	0bug	
100	9065	1399382	Javascript	Regulus136	
100	13737	3235897	PHP	Zylo	
100	16726	1441239	PHP	Dyd	
100	17322	2924895	C	trictrac	
100	19173	2510531	Python3	Jamproject	
100	19635	1378958	PHP	Illedan	
100	19831	925695	Bash	Boulet	
100	21165	2416641	PHP	Zenoscave	
100	21426	512097	Haskell	Stilgart	
100	22313	1201783	Python3	qsantos	
100	22327	1436776	C++	BrainSolver	
100	25095	2311105	C++	kovi	
100	25289	884874	PHP	Zauberer	
100	25459	934381	Rust	PolyB	
100	25771	1854246	PHP	Counterbalance	
100	26947	1509627	Javascript	puma17	
100	27186	3839774	PHP	gurvan_lullien	
100	28524	1502463	Python3	jitsch	
100	29489	3166298	PHP	DennisTheMenace	
100	31098	973040	PHP	papyjo	
100	31397	3918583	PHP	mikmak	
100	31792	569247	Python3	LaurentBouvier	
100	31822	3165536	PHP	barbora	
100	32793	1518732	PHP	Apfeloxid	
100	32915	371603	PHP	martin	
100	33173	2061249	OCaml	delisea	
100	34130	2786666	Pascal	TetraktysPhi	
100	34334	3226448	PHP	tobk	
100	34940	1114834	PHP	k4ng0u	
100	35651	820000	PHP	ValGrowth	
100	35816	4072753	PHP	mdstoy	
100	35845	1050420	Python3	boi_led_egg	
100	37115	1178276	PHP	Jerome_95	
100	37187	3711954	PHP	kpjl	
100	37188	888898	PHP	helgui	
100	37399	3490454	PHP	PAug	
100	38056	759147	C++	kisszots	
100	38092	3475407	Python3	LeChat.Sokolov	
100	38321	552776	PHP	player_one	
100	38778	992329	PHP	BeeGee	
100	39067	1457162	PHP	JFB	
100	39277	1838549	Rust	orangesnowfox	
100	39470	2589340	PHP	Zource	
100	40203	4038761	PHP	Leirn	
100	40230	2202771	Python3	Kaplone	
100	40312	2858320	C++	Loule	
100	40508	2785892	Python3	levbor	
100	40679	2210894	Python3	Kubo	
100	41034	2491616	PHP	abt8601	
100	41126	2508635	PHP	hemhel	
100	41316	3950687	PHP	vkreuz	
100	41569	2007852	PHP	Zorg1	
100	41613	4063095	C++	Dr.Mentalist	
100	42115	3767065	Python3	lxnn	
100	42684	2233179	PHP	Samsa	
100	43011	1879060	Python3	Bozydarek	
100	43043	153965	Python3	Keelhaul	
100	43601	1186885	Python3	miracle	
100	43692	1607522	PHP	RoboStac	
100	44275	3305510	PHP	TBali	
100	45172	2069141	C#	tomeko	
100	45633	1952778	PHP	blast_beat	
100	46242	3380418	C++	Von-Karma	
100	47047	3486648	Python3	illliliiiliiiillli	
100	47968	841420	Python3	RandomVariable	
100	48443	4526264	PHP	cly	
100	48874	1754295	PHP	SF	
100	49228	3457031	PHP	YurkovAS	
100	49239	4095799	PHP	circular17	
100	50637	1050421	PHP	geppoz	
