Comp.	Score	UserID	Pseudo	#golf,count=21,time=2021-11-05 00:36:47
100	89	155774	dwarfie	
100	89	3380184	chouch	
100	99	1178276	Jerome_95	
100	102	1567943	LazyMammal	
100	136	2315158	luigi_gelato	
100	139	2874091	5DN1L	
100	142	3354337	Westicles	
100	170	1441239	Dyd	
100	222	154806	piwai	
88	123	2178794	Unihedron	
77	155	1848459	Velcoro	
44	164	1407420	kiril76	
0	89	2288263	dbdr	
0	104	1654818	tarapitha	
0	147	1436776	BrainSolver	
0	165	2290633	field3	
0	202	1179950	Patorikkuyatta	
0	218	2786666	TetraktysPhi	
0	242	3305510	TBali	
0	283	4240675	ProfessorKelly	
0	875	1001266	Chamel	
