Score	UserID	Pseudo	#golf,count=26,time=2019-10-19 01:16:57
69	2288263	dbdr	
70	1654818	tarapitha	
71	155774	dwarfie	
75	2178794	Unihedron	
76	334009	abouvier	
76	805067	Magus	
78	973040	papyjo	
88	154984	_Royale	
88	1629259	Marchete	
89	2416641	Zenoscave	
91	964169	ivanoff.org.ua	
95	854169	Silmaen	
95	886483	R4N4R4M4	
95	1307473	Evgenykz	
101	1414038	sobrom	
107	820840	LazyShpee	
107	1436776	BrainSolver	
109	2786666	TetraktysPhi	
116	1854246	Counterbalance	
140	1484839	sparky	
147	1162999	Vaekor	
191	2559690	code_poet	
450	1740037	ereiam	
