Comp.	Score	UserID	Pseudo	#golf,count=26,time=2022-02-18 00:42:29
100	112	3354337	Mrs.GloriaZindlebocker	
100	113	709490	Sinlepuissant	
100	129	1436776	BrainSolver	
100	131	2288263	dbdr	
100	132	1629259	Marchete	
100	133	2874091	5DN1L	
100	134	1654818	tarapitha	
100	134	3845610	pardouin	
100	136	1179950	Patorikkuyatta	
100	163	2786666	TetraktysPhi	
100	165	155774	dwarfie	
100	180	1848459	Velcoro	
100	250	1466631	Akrib	
100	311	1325107	rdutot	
100	382	3686127	HarlekinX	
100	382	3665464	TheFalk	
100	394	1021061	divbyzero	
100	430	1740037	ereiam	
100	453	3376962	Kous92	
100	632	3305510	TBali	
100	1424	3156114	InsertNAme	
100	1619	4033245	Ruvy2000	
100	1931	4565315	Luc-OlivierMERSON	
100	2110	4334077	Paul_Demanze	
0	0	3968399	dormeur2009	
0	649	3142618	paxrex88	
