Score	UserID	Pseudo	#golf,count=37,time=2020-12-16 01:55:48
55	2288263	dbdr	
56	2178794	Unihedron	
56	805067	Magus	
58	334009	abouvier	
64	2416641	Zenoscave	
86	1537792	AsaiYusuke	
93	1654818	tarapitha	
94	3845610	pardouin	
95	155774	dwarfie	
97	1001096	MyIIone	
98	3391525	xayon40-12	
98	709490	Sinlepuissant	
104	1341520	egaetan	
104	1093968	milosMATRIXrepic	
105	1436776	BrainSolver	
108	854169	Silmaen	
108	154984	_Royale	
108	1845617	Shingyx	
109	3727174	Crazy_Remi	
111	481564	mihei	
114	280978	Rylanor	
114	2605855	logiqub	
115	925695	Boulet	
125	1759335	metahom	
127	351062	Neumann	
127	3354337	Westicles	
127	1848459	Velcoro	
131	1193408	DoubleZeroSteph	
131	2923506	darkhorse64	
135	1506280	TwoLate	
139	3611465	FooBat	
152	1140677	Crog	
158	820000	ValGrowth	
167	2490008	ebicochineal	
169	2786666	TetraktysPhi	
191	2479417	Papa94	
671	1740037	ereiam	
