Comp.	Score	UserID	Pseudo	#golf,count=144,time=2021-07-28 00:41:16
100	175	3354337	Westicles	
100	188	1399382	Regulus136	
100	208	3931064	wayneosborn	
100	235	1179950	Patorikkuyatta	
100	258	3727355	redsolver	
100	288	3304110	MathieuSoysal	
100	296	912075	Xerib	
100	321	4334077	Paul_Demanze	
100	357	4213251	FrancisBullock	
100	1001	257832	BlaiseEbuth	
100	1422	484004	aCat	
100	1779	4374615	Saran_Greenz	
75	206	1848459	Velcoro	
50	103	371603	martin	
50	105	545951	AntonT	
50	110	553938	MagAlex	
50	112	935802	Jerhyn	
50	116	577069	tvb999	
50	118	193315	hau	
50	118	1188212	superredlark	
0	111	1023075	Naro	
0	111	1629259	Marchete	
0	123	805067	Magus	
0	124	2288263	dbdr	
0	126	1130993	Azaria	
0	126	1436776	BrainSolver	
0	127	719682	AXB	
0	128	886483	R4N4R4M4	
0	134	557990	Wazemo	
0	137	937362	josh_	
0	138	933182	Lasiboy	
0	140	218189	[CG]Maxime	
0	141	403748	[CG]SaiksyApo	
0	151	505511	int33h	
0	163	162669	Gangrene	
0	172	820000	ValGrowth	
0	174	1654818	tarapitha	
0	179	2713608	LostSymphony	
0	184	250412	jcmellado	
0	185	3917420	trold	
0	189	1231532	Arnaud_63	
0	190	864071	Basecrosser	
0	190	2069141	tomeko	
0	190	3808031	_proton	
0	194	185541	kazrakel	
0	196	3869618	tsds	
0	198	1598961	har79	
0	199	1348523	Numb_	
0	204	154806	piwai	
0	204	2202771	Kaplone	
0	204	3626280	Fillan	
0	207	1355842	slaghn	
0	210	1464932	Tiramon	
0	211	1200418	fandegw	
0	214	153683	40R15T3	
0	216	876720	Jennydjen	
0	216	827332	Metalshoot	
0	221	155774	dwarfie	
0	226	3216070	TaoJonesIndex	
0	226	3922731	Dartisan	
0	228	1692237	Dr_H	
0	231	1515891	ndc	
0	231	3305510	TBali	
0	236	865548	Kktus	
0	238	876754	Lemniscate	
0	238	3655227	jolleekin	
0	238	862919	Astrobytes	
0	239	1051580	KayZ	
0	239	828239	[SG]Bisou	
0	243	1104924	Jackhftang	
0	245	1740037	ereiam	
0	246	1466631	Akrib	
0	247	3845610	pardouin	
0	250	2786666	TetraktysPhi	
0	251	1854639	iDxMeG	
0	253	3308199	ChadThundercode	
0	254	323895	HannesRammer	
0	254	1244685	dorion	
0	255	1428084	Mixolyde	
0	258	1323814	Wildcat-SC	
0	264	1908091	RedAustin	
0	267	3622757	anid	
0	268	464006	Ryugate	
0	268	2043908	AntiSquid	
0	270	1252380	Glopp	
0	271	569478	Guish29	
0	273	4052564	GooPunch	
0	276	1007939	Poruk	
0	277	1627356	Pelker	
0	284	826372	skyyker	
0	287	3406044	andry_h	
0	290	4284234	rOjOr	
0	292	1017944	Werewolf	
0	295	921273	GooFy	
0	295	2252914	Malleek	
0	302	2290633	field3	
0	303	830819	johnnyhibiki	
0	308	831778	jedau	
0	310	155744	Kleak	
0	322	952284	Copro	
0	323	717413	fritaly	
0	345	1943136	Minimalist	
0	366	230794	alpha_one_x86	
0	366	1896128	Vhanire	
0	378	478803	EvilSkeletorXD	
0	380	288996	ronlobo	
0	448	240990	ggirou[SFEIR]	
0	452	3075636	Dr-D	
0	502	251033	EagleOfDeath13	
0	511	1152008	GrigoreDiviza	
0	529	1495491	[Random]-J3ff3z	
0	569	199979	VonRickroll	
0	605	3941789	LastRick	
0	608	886124	YessineKAMMOUN	
0	635	735910	Agade	
0	649	810402	Kabiro	
0	685	1077559	PhOeNyX	
0	689	382244	Albatarm	
0	722	420035	bvs23bkv33	
0	763	3191466	Emare	
0	814	936609	dja	
0	970	2317396	Toax	
0	983	337654	Firejinn	
0	992	2563535	koolkidradboy312	
0	992	4023004		
0	1049	1036934	Kaishiyoku	
0	1072	4408313	maddiep11002	
0	1111	1065845	Oli8	
0	1111	1066028	JrmC	
0	1111	1068877	[CPC]Tamno	
0	1111	1433338	Elykia	
0	1111	4112733	SGE-GamingWarrior	
0	1198	1470927	ClementAvenel	
0	1228	709490	Sinlepuissant	
0	1247	3909006	MASKADEV	
0	1264	154984	_Royale	
0	1348	828213	anst	
0	1357	869020	M.M.	
0	1395	788361	Bob	
0	1439	858602	Suigetsusake	
0	1515	1219826	goran.mahovlic	
0	1615	2568840	awesomejerry	
0	1668	4150222	Lastheart	
0	1712	598085	crazytimon	
